()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<Night><BIN>6</BIN><黑屏2>:……格里芬基地正門。+趁著剛剛戰鬥的空隙，經過破壞者精心改造後的鐵血兵蟻混入了格里芬人形當中，正乖巧懂事地坐在門口。
FAL(2)<Speaker>FAL＆雪貂菲兒</Speaker>||:……
CZ75(2)<Speaker>CZ75</Speaker>||<BGM>BGM_Hello</BGM>:你們看不見嗎……有幾個小傢伙在那裡蹲著……
KP31(2)<Speaker>索米</Speaker>||:就是看見了才不知道該怎麼辦……+像是被拋棄的流浪動物一樣……委屈巴巴地等著我們……
FAL(2)<Speaker>FAL</Speaker>||:等等，走過來了……+一直抱著我的腿蹭，看來是品味不錯的兵蟻。
()<Speaker></Speaker>||:雪貂菲兒發出了不滿的聲音。
OC44(2)<Speaker>OTs-44</Speaker><Position>0,-150</Position>||:嗚哇！正好可以給我幫上忙！
WA2000(2)<Speaker>WA2000</Speaker>||:帶回基地也不是不可以，我是說，我們現在也很需要幫忙對吧……
G36(4)<Speaker>G36</Speaker>||:這麼冷的天氣，放它們在外面好可憐哦……
M1903(2)<Speaker>春田</Speaker>||<黑點1>:既然大家都不反對，那我們就先收留下來，等指揮官回來之後再做決定吧。
()<Speaker></Speaker>||<BIN>7</BIN><黑點2><Night>:……格里芬基地附近的隱密角落。+眼看著改造兵蟻成功被格里芬人形接收，破壞者高興地一個猛紮進了雪堆裡。
BOSS-7(0)<Speaker>計量官</Speaker><通訊框>||:<color=#00CCFF>這麼快就放鬆警惕，可要當心樂極生悲。</color>
()<Speaker></Speaker>||:破壞者成熟穩重地自己鑽了出來。
BOSS-6(0)<Speaker>破壞者</Speaker>||:放心吧，我不會讓失敗再次重演的。
()<Speaker></Speaker>||<黑點1><BGM>BGM_Empty</BGM>:破壞者握緊了拳頭，眼神充滿堅定。
()<Speaker></Speaker>||<黑點2><BIN>9</BIN>:……與此同時。+……格里芬基地的煙囪旁。+ART556若有所思地盯著這些新來的兵蟻，嘴角彎起了一抹邪惡的笑。
