()||<BIN>34</BIN><BGM>BGM_Frontline</BGM>:FN調查組行動結束之後……
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:57，你們的情況如何了？
FAL(0);FN57(0)<Speaker>Five-seveN</Speaker>||<BIN>34</BIN>:來得正好，這裡已經準備完畢了。+已經連上疑似“兔子”的訊號線路，隨時可以接通。
FAL(0);BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN>:…………
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:……諾愛兒小姐，接下來就看你的了。
FAL(0);BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN>:……是！就交給我吧。
FN57(0)<Speaker>Five-seveN</Speaker>;BB_Noel(2)||<BIN>34</BIN><黑屏1>:那麼，連接開始……
()||<BIN>9</BIN>:…………
BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN><黑屏2>:……這就是……“兔子”嗎？……
GG_elfeldt_505(0)<Speaker>愛爾菲特</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:…………
GG_elfeldt_505(0)<通讯框>;BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN>:那個……你好？
GG_elfeldt_505(0)<Speaker>愛爾菲特</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:…………
GG_elfeldt_505(0)<通讯框>;BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN>:…………
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:…………+……再說點什麼。
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN>:哎？……好、好的。
GG_elfeldt_505(0)<Speaker>愛爾菲特</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:…………
GG_elfeldt_505(0)<通讯框>;BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN>:……你是在……找“人偶”嗎？+請看著我！……我就是你在找的人吧？
GG_elfeldt_505(0)<Speaker>愛爾菲特</Speaker><通讯框>;BB_Noel(2)||<BIN>34</BIN>:…………
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:……完全沒有回應，是失敗了嗎？
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN>:…………+我總覺得，好像哪裡不太對……
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:怎麼了？
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN>:好像……不太一樣……
FAL(0);GG_elfeldt_505(0)<Speaker>愛爾菲特</Speaker><通讯框>||<BIN>34</BIN><BGM>BGM_Empty</BGM>:……殲滅……
FAL(0)<Speaker>FAL</Speaker>;GG_elfeldt_505(0)<通讯框>||<BIN>34</BIN>:……！
FAL(0);GG_elfeldt_505(0)<Speaker>愛爾菲特</Speaker><通讯框>||<BIN>34</BIN>:愛爾菲特·瓦倫蒂……+將殲滅所有不合格的玩偶們！
FAL(0)<Speaker></Speaker>||<BIN>34</BIN>:通訊中斷……
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:……剛才的是……
FAL(0)<Speaker></Speaker>||<BIN>34</BIN><BGM>BGM_Empty</BGM><SE1>Explode</SE1><震屏>:轟！——
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:呃！……怎、怎麼了！？
FAL(0);FN49(0)<Speaker>FN-49</Speaker><通讯框>||<BIN>34</BIN><BGM>BGM_Danger</BGM>:FAL！前方出現了大量鐵血單位！
FAL(0)<Speaker>FAL</Speaker><通讯框>;FN49(0)||<BIN>34</BIN>:怎麼會！……它們從哪裡出現的！？
FAL(0);FN49(0)<Speaker>FN-49</Speaker><通讯框>||<BIN>34</BIN>:不知道！就像憑空出現一樣，沒有外部入侵的痕跡！
FAL(0);FN57(0)<Speaker>Five-seveN</Speaker>||<BIN>34</BIN>:FAL……出事了，工廠內的設施不知被誰啟動了。+控制台上零散的鐵血被重新啟動了起來……數量還在不斷增加！
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>34</BIN>:……呿、被埋伏的，反而是我們嗎？+那個通訊模組，一開始就是個陷阱……
FAL(0);BOSS-4(0)<Speaker>干擾者</Speaker><通讯框>||<BIN>34</BIN>:看來你們也明白過來了呢。
FAL(0)<Speaker>FAL</Speaker>;BOSS-4(0)<通讯框>||<BIN>34</BIN>:哼……這並不意外，干擾者。+只不過……你的劇本，還留著什麼伏筆呢？
FAL(0);BOSS-4(0)<Speaker>干擾者</Speaker><通讯框>||<BIN>34</BIN>:不，我也只是個觀眾而已，變成這樣的展開，也給了我不少樂趣呢。+只是不給點誘餌的話，獵物是不會上鉤的。+這裡就是最後的狩獵場了，期待你們最後的演出了……
FAL(0)<Speaker></Speaker>||<BIN>34</BIN>:通訊中斷……
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN>:……看著吧，干擾者。+我要讓你知道……你選錯戲劇的演員了。
FN57(0)<Speaker>Five-seveN</Speaker>||<BIN>34</BIN>:FAL！“兔子”來了！
GG_elfeldt_505(0)<Speaker>愛爾菲特</Speaker>||<BIN>34</BIN>:人偶……殲滅……人偶……
BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN>:已經……進攻到這裡了嗎！
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:……諾愛兒小姐，不管是你也好我們也好。+為了活著回去，現在……就拼盡全力吧。
FAL(0);BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN>:……恩！+我們大家，一定能回去的！
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN><黑点1>:上吧，各位……+這就是……最後的“獵兔行動”了！
()||<BIN>10</BIN><黑点2>:
