()||<BIN>55</BIN><BGM>BGM_Frontline</BGM>:…………同一時間。
NPC-Seele(0)<Speaker>希爾</Speaker><通讯框>||:45小姐，請聽一下現在格里芬的全域廣播！我要說的事就是這個！
NPC-Helian(0)<Speaker>赫麗安</Speaker><通讯框>||:全體S11區格里芬成員注意！全體S11區格里芬成員注意！+S09區此刻戰事不利，區域內出現了重大混亂事件！+現在……我們正在組織區域內的人員大規模撤退！而S11區是撤退路線的必經之路！+所有執行待機任務的指揮官，立即到你的指揮部報導！+所有S11區格里芬成員，立刻進入戰鬥狀態，擊退追擊的鐵血部隊，保護盡可能多的我方部隊！+全體S11區格里芬成員注意！全體S11區格里芬成員注意！
()||:…………
UMP45(0)<Speaker>UMP45</Speaker>||:竟然用明碼廣播……而且難得見到赫麗安喊這麼大聲，看來格里芬真是出了大事。+雖然很想知道到底發生了什麼……不過這和我們有什麼關係？
UMP45(0);NPC-Seele(0)<Speaker>希爾</Speaker><通讯框>||:就在剛才，我們偵測到了很強的能量信號，也就是你受到【傘】病毒攻擊的時候。+而且這個信號強度是全域的，也就是說……
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:……也就是說，這次的【傘】並不只是針對我一個人的。
UMP45(0);NPC-Seele(0)<Speaker>希爾</Speaker><通讯框>||:是的，我想你應該猜到發生什麼了。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:…………
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:好吧，我改主意了，我們需要建立一條防線重整被擊潰的格里芬部隊。+德爾，你可以入侵格里芬的通訊嗎？
UMP45(0);NPC-Deele(0)<Speaker>德爾</Speaker><通讯框>||:沒問題！這可是我最拿手的活！+我還可以把撤退中的人形位置標給你，算是免費大贈送哦！
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Deele(0)||:謝了，不過我的工作可不是免費的，希爾，還在嗎？
UMP45(0);NPC-Seele(0)<Speaker>希爾</Speaker><通讯框>||:啊，我在聽呢。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:讓那個人和格里芬聯繫，我們救下的每一個人形都要格里芬拿錢來贖回去，少一分錢都不行。
UMP45(0);NPC-Seele(0)<Speaker>希爾</Speaker>||:明白了，我會馬上聯繫的。請放心，結果上絕對會讓你滿意的。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:……確實，談判上你從來沒讓我失望過。+那就來吧，反正我們也脫險了，趁指揮模組還在我的手裡，多玩一會兒也不會壞事。
UMP45(0);NPC-Seele(0)<Speaker>希爾</Speaker>||:好的，一會我們會標記出格里芬人形撤退的路線，請一定要防禦住鐵血的進攻。+整編後的格里芬人形我們會強行改變指揮許可權到你手上，請盡情發揮你的能力吧！
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:我擔心的只有怎麼補償9她們延後的假期了。+9，你們在聽嗎？
UMP45(0);UMP9(0)<Speaker>UMP9</Speaker>||:嗯！我們已經準備好了！45姐，儘管下令吧！
UMP45(0);G11(0)<Speaker>G11</Speaker>||:我先去找高地了，416，等會叫醒我，要我打誰我就打誰。
UMP45(0);HK416(0)<Speaker>HK416</Speaker>||:（歎氣）……45，我真的很想問你是不是瘋了。
UMP45(0)<Speaker>UMP45</Speaker>;HK416(0)||:偶爾也要做點好事啊，留點人情，死的時候還能輕鬆點。
UMP45(0);HK416(0)<Speaker>HK416</Speaker>||:你到底在想些什麼，【傘】讓你的心智錯亂成這樣了嗎？
UMP45(0)<Speaker>UMP45</Speaker>;HK416(0)||:不想幹可以退出啊，袖手旁觀這種事，你也不是沒做過吧？
UMP45(0);HK416(0)<Speaker>HK416</Speaker>||:…………+呿，反正不是無償勞動就好，我也想知道……我的極限在哪裡。
UMP45(0)<Speaker>UMP45</Speaker>;HK416(0)||<黑屏1>:很好，各位，準備出發吧。+格里芬的孩子們還在求救呢，我們一定會救出她們的。
UMP45()<Speaker>UMP45</Speaker>||<黑屏2><BIN>9</BIN><黑屏1>:我能聞到這種熟悉的味道，和那個時候一模一樣……+一樣的爛攤子，他們想再來一遍……+那就來吧，來得正好。這一次，我一定會挖出真相……
NPC-Seele(0)<Speaker>希爾</Speaker><通讯框>||<黑屏2><BIN>9</BIN>:45小姐，我們已經成功與潰散的格里芬人形建立聯繫了，現在我們需要和集結點連接形成防線方便人形撤退。+下面，讓我來講解一下這次的戰術方案吧，請允許我用直觀的評分來衡量這次的作戰結果，分數越高，我們從格里芬獲得的報酬就越可觀。+維持防線將獲得較多的分數，請盡可能防禦敵人的進攻。+由於人形撤離的方向不同，集結點一定時間後會變換位置，請隨時注意地圖變化。+根據我們預測，鐵血其他地區的頭目級敵人也會加入戰鬥，是否要正面衝突就交給你來決定了。+格里芬要求我們至少堅守15回合，請盡可能獲得最多的分數為目標吧，祝你好運！
()||<BIN>10</BIN><黑点1>:
