()||<BIN>10</BIN>:【提示】請認真閱讀接下來的劇情教學以順利進行遊戲。
AEK999(0)<Speaker>AEK999</Speaker>||:所以，這個又是什麼，菲爾？
FAIL(0)<Speaker>菲爾</Speaker>||:這個嘛……你馬上就會知道了。
DJMAXSUEE(0)<Speaker>希依</Speaker><Position>0,300</Position>||:大家！你們還好嗎！
M950A(0)<Speaker>M950A</Speaker>||:希依！你醒過來了！
DJMAXSEHRA(0)<Speaker>世拉和妮娜</Speaker><Position>0,300</Position>||:我們又見面啦！
AEK999(0)<Speaker>AEK999</Speaker>||:啊！是你們！你們都在這裡嗎！
TMP(0)<Speaker>TMP</Speaker>||:怎麼回事？良心發現了，菲爾？
FAIL(0)<Speaker>菲爾</Speaker>||:哎呀……我都說了，我也是為了大家好啊。
Thunder50(0)<Speaker>雷電</Speaker>||:你們……會原諒她嗎？
DJMAXSUEE(0)<Speaker>希依</Speaker><Position>0,300</Position>||:我知道的，菲爾小姐……也是在保護我們。
DJMAXSEHRA(0)<Speaker>世拉和妮娜</Speaker><Position>0,300</Position>||:在那個封閉的環境下，也許那也是一種辦法吧。
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:（攤手）雖然過時了五十年很久就是了。
FAIL(0)<Speaker>菲爾</Speaker>||:喂喂，只有這個會傷到我的心啊，克莉爾。
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:如果你稍稍識相一點，就不會被大家痛扁了啊。
FAIL(0)<Speaker>菲爾</Speaker>||:嗚！別得意，不會再有第二次啦！
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:哦？要比一比嗎？誰的音樂更有魅力？
K2(0)<Speaker>K2</Speaker>||:她們兩個……原來不是那麼好的朋友嗎？
FAIL(0)<Speaker>菲爾</Speaker>||:克莉爾，組個樂隊吧！我們好好比試一下。+先說好，我的妖精們還不會馬上認可你哦。
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:哼哼，沒問題，我不需要口袋城的居民也能做到。+（指著人形們）我只要她們就夠啦！
()<Speaker>全體人形</Speaker>||:……誒？！
FAIL(0)<Speaker>菲爾</Speaker>||:哼哼，我很期待哦。+你和這些半吊子音樂愛好者們努力前進的靈魂，一定很美味才對。+口袋城的大家！我們也不能落後哦！
K2(0)<Speaker>K2</Speaker>||:克莉爾，你……你是認真的？
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:有什麼問題嘛，有我在這裡呢！+放心吧，一個月後，我們一定能上台給大家獻上最棒的演出！+現在，前方還有最後一個封印了，讓我們先演練一下吧！
()||:【提示】前方的戰鬥將與通常戰鬥完全不同，請閱讀以下說明。+首先，請提前關閉【自動技能】指令，並打開遊戲設置的【音樂】開關，以免出現突發狀況。+在音樂標記墜落到水平線的瞬間，準確點擊對應的人形技能圖標，以獲得對應的MAX同步率。+否則，人形將受到一定傷害。+在音樂播放結束前保證您的人形沒有全部被擊敗，即可獲得勝利。+最後提示，請提前關閉【自動技能】指令，並打開遊戲【音樂】以免出現突發狀況。
