()||<BIN>7</BIN><Night><黑点2><BGM>BGM_Sneak</BGM>:……
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:諸位，休息好了嗎？該幹活了哦。
HK416(0)<Speaker>HK416</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:看你的表情感覺不是什麼好事……所以，要去哪？
HK416(0);UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:叫醒G11吧，我們的雇主拋來了個大麻煩，你想不到有多糟糕呢。
HK416(0)<Speaker>HK416</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:不會比你在這裡更糟……+喂，G11！起來了！
G11(3)<Speaker>G11</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:唔啊……搞什麼啊……+才睡了五分鐘……
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:9，找一找附近有什麼能接入鐵血網絡的地方。
UMP9(0)<Speaker>UMP9</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:讓我看看……唔，這附近有一個鐵血的中繼站，周邊有鐵血的人形看守，應該能用。
UMP9(0);UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:好，第一個目標是奪下它，準備好了嗎？
HK416(0)<Speaker>HK416</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:G11，快給我爬起來！
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night><黑屏1>:那就是準備好了，我們走。
