 ()||<BGM>BGM_Room</BGM><BIN>8</BIN><Night>:……成功奪取情報站。
PM(0)<Speaker>馬卡洛夫</Speaker>||:順利佔領情報站，完美的行動，指揮官。+我要開始破解資料，SKS，幫我找把椅子。
SKS(0)<Speaker>SKS</Speaker>||:哈，哪裡有椅子嘛，剛才進門時連個把手都沒有。
AK47(0)<Speaker>AK47</Speaker>;SKS(0)||:唔……這麼簡陋的場所，鐵血是怎麼呆下去的啊。
AK47(0);SKS(0)<Speaker>SKS</Speaker>||:這裡是低級鐵血才會光顧的地方，有個充電口就不錯了。
AK47(0)<Speaker>AK47</Speaker>;SKS(0)||:哈，那些哈巴狗和神仙魚該有多可憐。
AK47(0);SKS(0)<Speaker>SKS</Speaker>||:你又不是魚，怎麼知道它可不可憐呢。
AK47(0)<Speaker>AK47</Speaker>;SKS(0)||:看這個房間嘍。連瓶酒都沒有，要我啊半小時都坐不住啦。
AK47(0);SKS(0)<Speaker>SKS</Speaker>||:AK47啊，這就是你的問題了，不能沉迷於低級的物質享受啊。+你要經常思考，作為人形，我們活著的意義是什麼。
AK47(0)<Speaker>AK47</Speaker>;SKS(0)||:呿，你的意思是說，鐵血那群雜魚活得比我還高級嘍。
PM(0)<Speaker>馬卡洛夫</Speaker>;SKS(0)||:你們兩個，又在那兒胡扯些什麼。
PM(0);SKS(0)<Speaker>SKS</Speaker>||:你一點都不感興趣嗎，馬卡洛夫？鐵血的來歷，還有它們的目的。
PM(0)<Speaker>馬卡洛夫</Speaker>;SKS(0)||:它們是危害格里芬利益的敵人，只要消滅它們就夠了。
PM(0);SKS(0)<Speaker>SKS</Speaker>||:哼哼，其實你知道不少吧，馬卡洛夫，畢竟和OTs-14關係很好呢。
PM(0);AK47(0)<Speaker>AK47</Speaker>||:對啊對啊，快，說點內幕給我聽呀！
PM(0)<Speaker>馬卡洛夫</Speaker>||:…………+好了，獲取到目標位置了，休息時間結束。
SKS(0)<Speaker>SKS</Speaker>||:喂！你是知道的吧！一定知道不少吧，馬卡洛夫！
PM(0)<Speaker>馬卡洛夫</Speaker>||:……知道了，又有什麼不同呢？+AK47，SKS，作為人形，無論知道什麼，我們接受的命令是不會改變的。+只要消滅鐵血就夠了，所以，繼續行動吧。
