()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<黑屏2><BIN>202</BIN>:
()||<BGM>BGM_Sneak</BGM>:……塔林市郊。
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>指揮官，剛才兩個小時，塔林市內的不明訊號在不斷嘗試和M4連接，除此之外，沒有發現異狀。</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>其他格里芬梯隊的人形也沒有遭到電子攻擊，我們會繼續提供防壁支持。</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>那麼，定期聯絡結束，我們也要跟上她們的腳步一起前往塔林市了。</color>
指揮官()||:這樣嗎……我知道了，繼續保持聯繫。
()<Speaker>指揮官</Speaker>||<SE1>AVG_tele_disconnect</SE1>:嗯？
NPC-Kalin(0)<Speaker>格琳娜</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:指揮官，你方便嗎？
NPC-Kalin(0)<Speaker>指揮官</Speaker><通讯框>||:我這邊沒問題，是先遣小隊的通訊嗎？那是最優先級別，如果有的話，不必請示可以立刻幫我接過來。
NPC-Kalin(3)<Speaker>格琳娜</Speaker><通讯框>||:不，是來自16Lab的……帕斯卡小姐。
NPC-Kalin(3)<Speaker>指揮官</Speaker><通讯框>||:（來了嗎……就跟哈維爾預言的一樣。）+……幫我接上吧。
()||<BGM>BGM_Empty</BGM><SE1>AVG_tele_connect</SE1>:……滴。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||<BGM>BGM_Room</BGM>:<color=#00CCFF>啊……指揮官……好久不見。</color>
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>那個……唔……明明有很多想說的，但是到了這種關頭，反而……</color>
NPC-Persica(0)<Speaker>指揮官</Speaker><通讯框>||:好幾個月沒有與你聯絡了，很高興接到你來電。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>……天啊，才幾個月嗎？明明不到一年，感覺卻像是過了很久了。</color>
