20190<-ID->()||<BGM>BGM_Empty</BGM><BIN>9</BIN>:……
20191<-ID->xm3(0)<Speaker>XM3</Speaker>||<BIN>9</BIN>:你也知道自己的問題在哪裡嗎，隊長？+對於任務可以不經心成這副德性，你到底是憑什麼擔任我們的隊長？
20192<-ID->M1918()||<BIN>9</BIN>:我……
20193<-ID->SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>9</BIN>:為什麼明明辦得到，但過去卻不這麼做？+要是你願意從一開始就這樣……
20194<-ID->M1918()||<BIN>9</BIN><黑屏1>:但是我……並不是我不願意……
20195<-ID->()||<BIN>82</BIN><黑屏2><BGM>GF_Memorial</BGM>:………
20196<-ID->()<Speaker>Five-seveN</Speaker>||<BIN>82</BIN>:M1918小姐，你在房間裡面嗎？
20197<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:……是的。+請進。
20198<-ID->FN57(0)<Speaker>Five-seveN</Speaker>||<BIN>82</BIN>:下午好，M1918小姐。那我就一樣省略多餘的問候語吧。+新的任務已經來了，這次指揮官同樣希望你能跟我們一起行動。
20199<-ID->M1918(0)<Speaker>M1918</Speaker>;FN57(0)||<BIN>82</BIN>:是嗎……
20200<-ID->M1918(0);FN57(0)<Speaker>Five-seveN</Speaker>||<BIN>82</BIN>:我們已經找到上次戰鬥裡沒找到的貨物了——+……M1918小姐？你在發什麼呆？
20201<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:………+為什麼……沒辦法有作為的時候被指責……+但就算辦到了能夠辦到的事情……還是被罵了……+我到底……應該……
20202<-ID->FN57(0)<Speaker>Five-seveN</Speaker>||<BIN>82</BIN>:雖然是問了我為什麼……+但你不是說你們小隊的事情不需要其他人關照嗎？
20203<-ID->M1918(0)<Speaker>M1918</Speaker>;FN57(0)||<BIN>82</BIN>:我只是想知道答案而已。
20204<-ID->M1918(0);FN57(0)<Speaker>Five-seveN</Speaker>||<BIN>82</BIN>:“答案”……+“明明辦得到，但為什麼不這麼做？”
20205<-ID->M1918(0)<Speaker>M1918</Speaker>;FN57(0)||<BIN>82</BIN>:咦……？
20206<-ID->M1918(0);FN57(0)<Speaker>Five-seveN</Speaker>||<BIN>82</BIN>:“憑你這個樣子，到底是怎麼當隊長的。”……+還有“要是你能夠早點這麼做的話，事情就不會變成這樣了吧？”
20207<-ID->M1918(0)<Speaker>M1918</Speaker>;FN57(0)||<BIN>82</BIN>:等等……你為什麼知道……
20208<-ID->FN57(0)<Speaker>Five-seveN</Speaker>||<BIN>82</BIN>:因為這些反應太正常了。+你不也已經猜到她們會有這些反應嗎？+既然這樣，那為什麼又要問我“為什麼”呢？
20209<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:但是我不……
20210<-ID->M1918(0);FN57(0)<Speaker>Five-seveN</Speaker>||<BIN>82</BIN>:期待就是這樣的一件事，即使你不面對它。+常說自己無力到底只是一個藉口……還是只是不想做多餘的付出呢？
20211<-ID->M1918(0)<Speaker>M1918</Speaker>;FN57(0)||<BIN>82</BIN>:……
20212<-ID->M1918(0);FN57(0)<Speaker>Five-seveN</Speaker>||<BIN>82</BIN>:又有什麼東西真的算是多餘呢，M1918？
20213<-ID->M1918(0)<Speaker>M1918</Speaker>;FN57(0)||<BIN>82</BIN>:可以了，57。+不必繼續說下去了。
20214<-ID->FN57(0)<Speaker>Five-seveN</Speaker>||<BIN>82</BIN>:……既然你都這麼講了。
20215<-ID->()||<BIN>82</BIN>:……Five-seveN起身，然後在門口停下來。
20216<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:你不走嗎？
20217<-ID->M1918(0);FN57(0)<Speaker>Five-seveN</Speaker>||<BIN>82</BIN>:指揮官上次將你單獨調出來，而不是將你們整個小隊一起投入。+你反思過原因嗎？
20218<-ID->M1918(0)<Speaker>M1918</Speaker>;FN57(0)||<BIN>82</BIN>:……指揮官會那麼做有他的理由，我沒必要揣測。
20219<-ID->M1918(0);FN57(0)<Speaker>Five-seveN</Speaker>||<BIN>82</BIN>:好吧。+不過最後，我幫Super SASS傳達一下。+她正在四處找你，不過都沒找到的樣子。
20220<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN><黑屏1>:……………
20221<-ID->()<Speaker></Speaker>||<BIN>82</BIN><黑屏2>:……
20222<-ID->xm3(0)<Speaker>XM3</Speaker>||<BIN>82</BIN>:你怎麼跑回到這裡來了？
20223<-ID->SuperSASS(0)<Speaker>SuperSASS</Speaker>;xm3(0)||<BIN>82</BIN>:沒辦法，找不到隊長啊。+我現在在想她會不會是出差去了……
20224<-ID->SuperSASS(0);xm3(0)<Speaker>XM3</Speaker>||<BIN>82</BIN>:按她的性格，那種事情的機率不高吧。+你有沒有去敲過宿舍的房門？
20225<-ID->SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:還沒有……但是………+啊……
20226<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:找到了……原來你們在這裡。+Super SASS在找我……？
