()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()||<黑屏2><BIN>82</BIN><BGM>BGM_Moon</BGM>:午後。+瑪赫蓮從睡夢中迷迷糊糊醒來。+床邊坐著的人形也正在假寐。
NPC-Machlian(6)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:唔……
VP1915(0)<Speaker>帕羅莎</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:你醒了。
VP1915(0)<Speaker></Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:在瑪赫蓮輕輕伸懶腰之際，帕羅莎睜開了眼。
VP1915(0)<Speaker>帕羅莎</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:你睡得應該還不錯吧？
VP1915(0);NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:嗯，挺好的……+其他人呢？
VP1915(0)<Speaker>帕羅莎</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:她們在外面研究怎麼製作人類食用的料理，聽聲音似乎進展得不太順利。
VP1915(0);NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:……
VP1915(0);NPC-Machlian(5)<Speaker></Speaker><Position>0,-50</Position>||:瑪赫蓮側耳傾聽，房間外確實吵吵鬧鬧的，但聽不太清她們到底在吵什麼。
VP1915(0)<Speaker>帕羅莎</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:要出去看看嗎？睡醒以後，走一走或許更易消乏。
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:好的。
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑屏1>:瑪赫蓮從床上起身，跟著帕羅莎走出了屋外。
()<Speaker></Speaker>||<黑屏2><BIN>129</BIN><BGM>m_avg_casual</BGM>:幾個人形果然正在激烈爭吵，廚房的灶台上擺放著幾盤焦黑的不明物體。
Kolibri(0)<Speaker>蜂鳥</Speaker>||:……你這樣做菜，就算我把味覺模組關了都吃不下去！
Kolibri(0);Derringer(0)<Speaker>德林加</Speaker>||<震屏>:你懂什麼啊？！這可是我私藏的點心！
Kolibri(0)<Speaker>蜂鳥</Speaker>;Derringer(0)||:那也不能拿來炸啊！
Derringer(0)<Speaker>德林加</Speaker>||:指揮官說想吃熱的嘛！
NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker>||:……
VP1915(0)<Speaker>帕羅莎</Speaker>;NPC-Machlian(5)||:你們在吵什麼？
VP1915(0);Savage99(0)<Speaker>沙維奇</Speaker>||:帕羅莎，她們在爭論餅乾到底能不能和食材混在一起扔進油裡炸。
VP1915(0);Fedorov(0)<Speaker>菲德洛夫</Speaker>||<黑点1><BGM>BGM_Empty</BGM>:快想想辦法吧，帕羅莎，她們已經炸廢好幾盤了……
()||<黑点2>:瑪赫蓮走到灶台邊，輕輕拈了拈黑色的不明物體，然後放在脣邊小小舔舐了一口……
NPC-Machlian(7)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||<BGM>BGM_Danger</BGM>:……+這是……
()<Speaker></Speaker>||<震屏>:一股強烈的魚腥味糾纏著詭異的甜膩洶涌而來，以深海巨鯊的氣勢闖進口中，直沖天靈蓋……+瑪赫蓮腿一軟，坐到了地上。
VP1915(0)<Speaker>帕羅莎</Speaker>||:瑪赫蓮！你沒事吧？+快拿水來！
VP1915(0);Savage99(0)<Speaker>沙維奇</Speaker>||<黑点1>:快用水漱漱口！
()||<黑点2><BGM>BGM_Empty</BGM>:大口灌下純淨水，瑪赫蓮的意識清醒了過來。+看見瑪赫蓮小嚐一口的反應後，蜂鳥和德林加更喪氣了。
VP1915(0)<Speaker>帕羅莎</Speaker>||<BGM>m_avg_casual</BGM>:你們看著瑪赫蓮，讓我來吧。
VP1915(0);Savage99(0)<Speaker>沙維奇</Speaker>||:欸，好久沒見帕羅莎親自下廚了。
VP1915(0);Fedorov(0)<Speaker>菲德洛夫</Speaker>||:我來幫忙吧。
VP1915(0)<Speaker></Speaker>||:帕羅莎嫻熟地洗乾淨了魚，然後去掉了骨頭和頭，將魚切成片裹上麵粉。+之後，帕羅莎將菲德洛夫處理好的馬鈴薯條和剛處理好的魚一起放入了熱油中。+不多時，一盤黃澄澄的炸魚薯條已經端上了餐桌。
Kolibri(0)<Speaker>蜂鳥</Speaker>||:哇——
Kolibri(0);Derringer(0)<Speaker>德林加</Speaker>||:帕羅莎好厲害！
Kolibri(0);NPC-Machlian(5)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:聞上去很香……
VP1915(0)<Speaker></Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:帕羅莎將其中一份擺到了瑪赫蓮面前。
VP1915(0)<Speaker>帕羅莎</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:這是你的。
VP1915(0);NPC-Machlian(8)<Speaker>瑪赫蓮</Speaker><Position>0,-50</Position>||:我、我也有嗎？謝謝你。
NPC-Machlian(8)<Speaker></Speaker><Position>0,-50</Position>||:在人形們艷羡的目光中，瑪赫蓮緊張地拿起了一塊薯條準備放入口中……
()<Speaker></Speaker>||:AR小隊結束採購回到了臨時指揮處，正好趕上了這一幕。
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<SE1>AVG_Door_Open_Close</SE1>:好香啊，你們在吃什麼？
AR15Mod(0)<Speaker>AR15</Speaker>||:給指揮官準備的下午茶好了嗎？那我去叫指揮官了。
()<Speaker></Speaker>||:AR15走向了指揮室。
RO635Mod(0)<Speaker>RO635</Speaker>||:看上去，是英國料理啊。
RO635Mod(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:好懷念基地的食堂啊！
RO635Mod(0)<Speaker>RO635</Speaker>||:等我們回去就能吃到了。
NPC-Machlian(8)<Speaker></Speaker><Position>0,-50</Position>||:瑪赫蓮緩慢地咀嚼著嘴裡的薯條，外表酥脆，內裡柔軟，幾乎沒有加入調料，因而滿嘴只有馬鈴薯本身的香氣。
Kolibri(0)<Speaker>蜂鳥</Speaker>||:你們基地的食堂……很好吃嗎？
Kolibri(0);Derringer(0)<Speaker>德林加</Speaker>||:爵士都不喜歡食堂什麼的呢，說是有被投毒暗殺風險什麼的……
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>;Derringer(0)||:欸？我們基地的食堂可好吃了！各國風味的美食都有！+光說這個馬鈴薯啊，我們基地就有美式薯條、英式薯條、意式馬鈴薯泥、中式馬鈴薯絲……
Derringer(0)<Speaker>德林加</Speaker>||:快別說了……
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:瑪赫蓮低頭看了看盤中的炸魚薯條，剛剛還覺得鮮美可口，現在突然就索然無味了起來。
