()||<SE1>Battlefield</SE1><BIN>7</BIN><Night>:…………
G11(2)<Speaker>G11</Speaker>||:呼……總算安全了，可累壞我了……
UMP9(2)<Speaker>UMP9</Speaker>||:嘿嘿，明明是416比較累吧……+誒？416，你怎麼不反擊了？
HK416(2)<Speaker>HK416</Speaker>||:…………+45，這會不會有點奇怪？+為什麼我們的行動……會一直暴露在建築師的攝影機之下？
UMP45(0)<Speaker>UMP45</Speaker>||<SE1>Battlefield</SE1>:哦？你覺得我是有意這麼做的？+你的疑心病又犯了呢，416。
HK416(0)<Speaker>HK416</Speaker>||:那就請你快說點什麼，治好我吧。
UMP9(2)<Speaker>UMP9</Speaker>||:416……
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:哼哼……+布局是要花時間的，時間越久，對我們越有利。+而行動，到了現在才真正開始。
UMP45(0)<Speaker>UMP45</Speaker>||<SE1>Battlefield</SE1><BIN>10</BIN><黑屏2>:看到前面的據點了嗎？
UMP9(0)<Speaker>UMP9</Speaker>||:那裡……是建築師的基地吧？
UMP45(0)<Speaker>UMP45</Speaker>||:沒錯，我們的目標就是突襲這個據點。
HK416(2)<Speaker>HK416</Speaker>||:開什麼玩笑……+全是重型炮台的陣地裡，基地難道不會防守更嚴密嗎？
UMP45(0)<Speaker>UMP45</Speaker>||:通常情況是這樣的。+但這一次，我們面對的不是通常的對手。
UMP9(0)<Speaker>UMP9</Speaker>||:而且，我們也不是通常的人形梯隊啊！+我相信45姐，一定是有萬全之策才行動的！
G11(0)<Speaker>G11</Speaker>||:你又輸了哦，416。
HK416(0)<Speaker>HK416</Speaker>||:（嘆氣）……+反正你是隊長。
UMP45(0)<Speaker>UMP45</Speaker>||:那麼各位，我們必須迅速行動了。+不能給建築師任何反應的機會，現在開始跑起來吧！
