13631<-ID->()||<BIN>85</BIN>:……
13632<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>安潔</Speaker>||<BGM>BGM_Room</BGM><BIN>85</BIN>:……好，收到命令。+是的，今晚就會搞定的，利用夜色作為掩護會很方便。+……是的。+絕對……絕對會阻止軍方奪取主腦的行動。
13633<-ID->()||<BIN>85</BIN>:……通訊結束。
13634<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>安潔</Speaker>||<BIN>85</BIN>:忤逆小隊的各位，新的工作準備好了。+首先，M4A1，你來擔任隊長。
13635<-ID->M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:誒？我？
13636<-ID->M4A1Mod(0);NPC-Ange(0)<Speaker>安潔</Speaker>安潔</Speaker>||<BIN>85</BIN>:你是這裡面指揮經驗最長的，我相信你。
13637<-ID->M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:我……
13638<-ID->M4A1Mod(0)<Speaker>M4A1</Speaker></Speaker>||<BIN>85</BIN>:……M4A1看了眼AR15，對方點點頭。
13639<-ID->M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>85</BIN>:我知道了，我會帶領大家完成任務的。
13640<-ID->M4A1Mod(0);AK12(0)<Speaker>||<BIN>85</BIN>:期待你的表現哦，新隊長。
13641<-ID->AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>85</BIN>:你還真是安心看熱鬧啊。
13642<-ID->AK12(0)<Speaker>||<BIN>85</BIN>:趁現在觀摩一下前輩們的風格也不錯。+對吧，AN94？
13643<-ID->AN94(0)<Speaker>||<BIN>85</BIN>:是……歡迎你，M4A1小姐。
13644<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:好了，接下來是命令。+軍方現在的目的很明確，就是奪取鐵血主腦。
13645<-ID->M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>85</BIN>:……！
13646<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:我們這次行動的目的就是阻止他們，再者，就是查清他們為什麼要這麼做。
13647<-ID->AK12(0)<Speaker>;NPC-Ange(0)||<BIN>85</BIN>:總之我們就充當著軍方的絆腳石，對吧？
13648<-ID->AR15Mod(5)<Speaker>AR15</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:不愧是“忤逆”……
13649<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:你們當前的任務是入侵一座軍方控制下的訊息中繼站。+將其武力占領後，AK12會完成入侵工作。+只有這樣我才能對軍方展開進一步的竊聽行動。
13650<-ID->AK12(0)<Speaker>||<BIN>85</BIN>:收到指示。
13651<-ID->AN94(0)<Speaker>||<BIN>85</BIN>:您一個人在這裡不會有事情嗎，安潔小姐？
13652<-ID->AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:我這裡不會遭遇正面作戰，放心吧。
13653<-ID->M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:安潔小姐……+在保證任務的前提下，能否……+能否允許我去尋找失蹤人形的下落……
13654<-ID->M4A1Mod(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:SOP2嗎……+抱歉，當下請以完成任務為優先。+之後我會根據情況給你一些自主權限。
13655<-ID->M4A1Mod(2)<Speaker>M4A1</Speaker>||<BIN>85</BIN>:明白……我會完成命令的。+我們先去整理一下裝備，請稍等。
13656<-ID->()||<BIN>85</BIN>:……M4A1帶著大家離開了。
13657<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:AK12。+你覺得M4A1目前的表現如何？
13658<-ID->AK12(0)<Speaker><通讯框>;NPC-Ange(0)||<BIN>85</BIN>:比起資料顯示……感覺要積極主動很多。+但目前可能是受心智影響，思考方式有些冒險，而且缺少明確的目的性。+就像是……被命令以外的東西控制一樣。
13659<-ID->AK12(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:我明白了。+作為新銳人形，要聽從別的人形的指揮挺難接受的吧？
13660<-ID->AK12(0)<Speaker>;NPC-Ange(0)||<BIN>85</BIN>:對我來說，只要足夠有趣就沒什麼難接受的，而且……+觀察她們的有趣行動也是我的愛好。
13661<-ID->AK12(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:真是你的風格啊，快去吧，照顧好AN94。
13662<-ID->NPC-Ange(0)<Speaker></Speaker></Speaker>||<BIN>85</BIN>:……滴。
13663<-ID->()<Speaker></Speaker>||<BIN>85</BIN>:……傳來了一個加密的私人通訊請求。
13664<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:哦？偏偏這個時候……+晚上好，帕斯卡。
13665<-ID->NPC-Persica(1)<Speaker>帕斯卡</Speaker><通讯框>;NPC-Ange(0)||<BIN>85</BIN>:什麼，已經晚上了？
13666<-ID->NPC-Persica(2)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:M4的情況怎麼樣了？心智升級還順利嗎？
13667<-ID->NPC-Persica(2);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:至少目前還不錯，沒什麼可擔心的。+我得替她感謝你提供的升級資料。
13668<-ID->NPC-Persica(2)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:介意讓我看一下嗎？偷偷看一眼也好。
13669<-ID->NPC-Persica(2);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:不好意思，她們已經在整備開始下一個任務了。
13670<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:你又派了新任務給她？
13671<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:我可是把整個寶貴的忤逆小隊都交給她了呢。
13672<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:你不擔心她會被主腦抓走嗎？
13673<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:那不是更好嗎？主腦現身對我可是好機會。+不過說回來，你知道主腦為什麼要急著帶走M4A1嗎？+現在看起來這在它眼裡甚至比鐵血的存亡都要重要。
13674<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:我也正在調查這件事，而且有一些思路……
13675<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:比如？
13676<-ID->NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:萊柯。+你還記得他吧？
13677<-ID->NPC-Persica(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:我知道，主腦的研發者，算是一切罪魁禍首吧……至少是浮在表面上的。+那個死者和M4A1有什麼關係？
13678<-ID->NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:你應該知道，我和他曾經的關係。+我在提取M4原生體的腦部掃描模型時，萊柯曾問我要過一份，那時他也在開發他自己的AI架構。
13679<-ID->NPC-Persica(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:我可以理解成……你把M4的心智模型給他了？
13680<-ID->NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:那還不算M4的心智模型，從不那麼科學的角度來描述，也許能叫那“靈魂”……
13681<-ID->NPC-Persica(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:什麼……？+不過……就算那樣也證明不了兩者直接的聯繫，更解釋不了軍方為何會如此關心那個主腦。
13682<-ID->NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:的確說不通，我之前有一些想法……但是還需要更多線索去佐證。
