13565<-ID->()||<BIN>8</BIN>:格里芬總部。
13566<-ID->()||<BIN>8</BIN><BGM>BGM_Sneak</BGM>:……呲……呲……
13567<-ID->NPC-Helian(0)<Speaker>赫麗安</Speaker>||<BIN>8</BIN>:還是沒辦法和任何指揮官聯絡上嗎？+軍方那邊的回應呢？還沒有嗎？
13568<-ID->NPC-Helian(0)<Speaker>通訊員A</Speaker>||<BIN>8</BIN>:報告，我們依然沒有辦法和卡特將軍建立通訊接口。+工程師已經排除是【傘】干擾的可能，現在正在檢查線路是否是遭鐵血破壞。
13569<-ID->NPC-Helian(0)<Speaker>赫麗安</Speaker>||<BIN>8</BIN>:……我知道了，繼續嘗試，直到接通為止。
13570<-ID->NPC-Helian(0)<Speaker>通訊員B</Speaker>||<BIN>8</BIN>:報告，在【傘】的覆蓋圈之外有一個格里芬人形試圖和我們建立通訊。+已經驗證身份，沒有攜帶病毒，是否允許連接？
13571<-ID->NPC-Helian(0)<Speaker>赫麗安</Speaker>||<BIN>8</BIN>:（……難道是某個指揮官的傳令者？）+允許她的請求。
13572<-ID->()||<BIN>8</BIN>:……滴
13573<-ID->MP7(0)<Speaker>MP7</Speaker><通讯框>||<BIN>8</BIN>:這裡是MP7，“飼養員的飼養員”，能聽到我的聲音嗎？
13574<-ID->MP7(0);NPC-Helian(1)<Speaker>赫麗安</Speaker>||<BIN>8</BIN>:“飼養員的飼養員”……難道是說我？
13575<-ID->MP7(0)<Speaker>MP7</Speaker>;NPC-Helian(1)||<BIN>8</BIN>:我是被“飼養員”派來的傳令兵，我可是獨自跑出干擾範圍來和總部聯繫的……喂？喂？
13576<-ID->MP7(0);NPC-Helian(0)<Speaker>赫麗安</Speaker>||<BIN>8</BIN>:請說，MP7，現在現場的情況怎麼樣？
13577<-ID->MP7(0)<Speaker>MP7</Speaker>;NPC-Helian(0)||<BIN>8</BIN>:糟透了，不過還沒到死地，我的“飼養員”正在重新組織梯隊。+目前我們勉強把所有看得到的格里芬人形都收編過來，準備繼續朝S11區撤退。
13578<-ID->MP7(0)<Speaker>MP7</Speaker>;NPC-Helian(0)||<BIN>8</BIN>:除了鐵血之外，我們還遭到了被【傘】入侵的軍方人形攻擊，聯繫軍方也沒有回應，我猜我們都被軍方拋棄了。
13579<-ID->MP7(0);NPC-Helian(1)<Speaker>赫麗安</Speaker>||<BIN>8</BIN>:注意你的言辭，MP7，不準發出任何懷疑軍方的言論。
13580<-ID->MP7(0);NPC-Helian(0)<Speaker>赫麗安</Speaker>||<BIN>8</BIN>:回去向指揮官轉達總部的命令，現在最優先的目標是安全撤退區域，條件允許下可以營救其他格里芬的同伴，無論人類還是人形。+具體命令由你們的指揮官自由安排，一旦撤退回S11區的基地就保持待命狀態。
13581<-ID->MP7(0)<Speaker>MP7</Speaker>;NPC-Helian(0)||<BIN>8</BIN>:可以是可以……+但是現在變成這樣，你和“飼養員老大”所處的地方沒問題嗎？+指揮官說過，很擔心總部會突然……你不讓我說，但你知道什麼吧？
13582<-ID->MP7(0);NPC-Helian(0)<Speaker>赫麗安</Speaker>||<BIN>8</BIN>:總部這邊很安全，不用你們擔心，先保證自己活下來吧。+至少我們知道你們還活著，這就是個好消息，感謝你MP7。+通話到此為止，辛苦你了，回去報告吧。
13583<-ID->MP7(0)<Speaker>MP7</Speaker>||<BIN>8</BIN><黑屏1>0.6</黑屏1>:知道了，“飼養員的飼養員”，你們也要加油。
13584<-ID->()||<BIN>99</BIN><Night><黑屏2>:……滴。+通訊結束。
13585<-ID->MP7(0)<Speaker>MP7</Speaker>||<BIN>99</BIN><Night>:…………+接下來，只要把情報用無人機送回去就行了……+飼養員說過，逃出來之後就不要再回戰場了，所以……
13586<-ID->MP7(0)<Speaker></Speaker>||<BIN>99</BIN><Night>:……MP7嘆了口氣。
13587<-ID->MP7(0)<Speaker>MP7</Speaker>||<BIN>99</BIN><Night><SE1>Select</SE1>:果然還是不行啊，這不是我們【小隊】的作風呢。+在子彈用完前就退出行動，連糖果都會沒味道的。+……再幫一幫那些笨蛋吧。
13588<-ID->()||<BIN>99</BIN><Night>:……MP7向沸騰中的戰區走去。
