()||<BIN>79</BIN><BGM>BGM_Room</BGM>:…………
NPC-Carter(0)<Speaker>卡特</Speaker>||:我想細節已經說得差不多了，哈威爾那傢伙多半是在你這說了什麼不好的話。+不過我相信你是不會被他幾句話而動搖意志的。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Carter(0)||:的確，不是什麼讓令我在意的內容，有關這次行動，我已經在讓我的下屬加速籌備了。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||:嗯，你也感覺到了吧，也許會有人來干涉這次行動，所以我們越早展開越好。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Carter(0)||:今天就可以，我們的指揮官會配合你們的部隊現在立即去前線。他的人形梯隊已經在前線待命了。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||:可以，一會兒就讓他坐葉戈爾的直升機出發吧。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Carter(0)||:明白，不過在出發前，我想單獨再和他說幾句話。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||<黑屏1>:沒問題，我也需要安排下接下來的命令。
()||<黑屏2><BIN>79</BIN>:…………卡特和他的部下離開了。
()||:……克魯格聽取了剛才的報告。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>||<黑屏1>:……是嗎……AR小隊剩下的成員也失蹤了。指揮官，想盡辦法把她們找回來。+剛才的話你也聽到了，雖然哈威爾看起來很不靠譜，但他從來不是個隨便亂說話的人。+我預感這次行動會有大事發生，我會調撥格里芬所有可以動用的人形給你。+剩下的就見機行事吧，注意自己的安全。
克魯格()<Speaker>克魯格</Speaker>||<黑屏2><BIN>9</BIN>:該說的都說完了，走吧，葉戈爾還在外面等著。
()||:…………克魯格打開了門。
NPC-Carter(0)<Speaker>卡特</Speaker>||:結束了？上尉，帶著格里芬的指揮官出發吧。
NPC-Yegor(0)<Speaker>葉戈爾</Speaker>||:是。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>||:將軍，我還有些問題想請教下。
NPC-Carter(0)<Speaker>卡特</Speaker>||<黑屏1>:當然可以。
()||:…………門被關上了，克魯格和卡特的身影消失在夜宴中。
NPC-Yegor(0)<Speaker>葉戈爾</Speaker>||:格里芬的指揮官，請這邊走。
()||<黑屏1>:…………
