()||<BIN>9</BIN><BGM>BGM_Room</BGM>:…………
M16A1()<Speaker>M16A1</Speaker>||:帕斯卡！+…………+呼叫，帕斯卡！
帕斯卡()<Speaker>帕斯卡</Speaker>||<黑屏1>:哦哦，我來了。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN><黑屏2>:不好意思，剛才去觀察了一下M4。
M16(3)<Speaker>M16A1</Speaker><通讯框>;NPC-Persica(0)||:她……沒事吧？
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:一切都在……按照計畫進行中。+先不說這個，在資料庫時，RO沒看見你在做什麼吧……
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:沒有，她出來時我已經搞定了。
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:是嘛……你現在狀態如何？
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:哼，別告訴我……這時候了我還能反悔哦。+不過我確實有個疑問，就當作是雲圖不穩定引發的大膽猜疑吧，你能回答我嗎？
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:事到如今了，問吧。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:關於萊柯的死，我曾搜索過格里芬的資料庫，有378個報告指向他死於意外。+所以，我無法理解你的執著……+無論他做過什麼，他都已經死了，為什麼還要在意他？
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:因為他的死很可疑。+就算他會死，那也不會是死於意外……+……所以，我無法接受這一點。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:哈，沒想到你還有這麼敏銳的一面。+帕斯卡，你真的是個科研工作者嘛？
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:和你一樣，我也有過死裡逃生的經歷，M16，生存是一門技巧。+總而言之，你的目標就是那個東西了。+指揮官會遏制鐵血的攻勢，保證你能安全調查。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:調查那個……古怪的訊號發射源嗎……+你究竟是什麼時候注意到的？
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:RO進入鐵血主幹網路，開始搜索7號檔案時……+我偷偷使用了RO的雲圖對網路進行了多通道檢索，順手下載了一個有趣的檔。
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:雖然我想提醒你，鐵血網路中的檔都可能是感染源……+哼哼，不過現在說這個也沒什麼意思了吧……
M16(0);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:鐵血那種次級病毒，連RO自己都能破解掉，但重點不是這個。+我會下載這份檔，是因為它的加密方式，完全異於鐵血的模式特徵。+所以，這是一封信，一封讓你不虛此行的邀請……那個座標，你收到了吧？
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:邀請……對嗎？+雖然我作戰至今，但還沒見識過如此讓人不寒而慄的邀請
M16(2);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:怎麼了？都這個時候了，才覺得害怕嗎？
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:我的心智也有崩潰的可能……尤其是現在。+……只可惜……我的雲圖是無法複製的。+一大堆的經驗……恐怕無法帶給M4了。
M16(2);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:看來你什麼事……都要掛念著她呢。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:嗯……+這一切都是為了保護M4……+這是你對我下的唯一，也是絕對的命令。
M16(3);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:真高興，你還記得。+她馬上就會醒來了，M16。+如果行動夠快，你還來得及和她道別。
M16(3)<Speaker>M16A1</Speaker>||<黑屏1>:算了吧，我可沒時間想說什麼……+還是快點行動吧，這是我現在……唯一能做的。
