13418<-ID->()||<BIN>88</BIN><BGM>BGM_Room</BGM><黑屏2>:……戰鬥結束後，安全屋內。
13419<-ID->AK12(0)<Speaker>||:不過就是簡單斷個線，心智模組也會變成這樣亂糟糟的……+就算是舊款人形，這方面也太脆弱了……
13420<-ID->AK12(0);M4A1(0)<Speaker>||:抱歉，需要很長的時間修復嗎？
13421<-ID->AK12(0)<Speaker>;M4A1(0)||:在設備上用幾個修復程序跑一跑就好了。+既然時間來得及，就趁現在拿現有的裝備隨便給你組裝升級一下吧。
13422<-ID->AK12(0);M4A1(0)<Speaker>||:升級？真的要做這種事？+修復就足夠了，隨便組裝升級什麼的就……
13423<-ID->AK12(0)<Speaker>;M4A1(0)||:這是命令，要聽話哦。+安靜躺好，你的閒置接口倒是很多，不會花太久時間的。
13424<-ID->AK12(0);M4A1(0)<Speaker>||:嗯……多謝你了，AK12小姐。
13425<-ID->AK12(0)<Speaker>;M4A1(0)||:叫小姐多見外，叫我AK12姐姐就好聽多了。
13426<-ID->AK12(0);M4A1(0)<Speaker>||:姐……姐姐？
13427<-ID->AK12(0)<Speaker>;M4A1(0)||:一點都不可愛，還是算了吧……+客觀上講，幫手多了總不是壞事，要是有個更可靠的人形幫忙作戰，就不用老聽AR15抱怨了。
13428<-ID->AR15Mod(2)<Speaker>AR15</Speaker>;M4A1(0)||:是誰害得我非得抱怨不可啊……
13429<-ID->AK12(0)<Speaker>;M4A1(0)||:唔，你的心智空間……真是出人意料得寬敞啊……+我要收回之前的說法，說你是民用人形加個烙印改裝什麼的，畢竟你身上很多零件可都是軍用級別的啊。
13430<-ID->AK12(0);M4A1(0)<Speaker>||:是……是這樣嗎……
13431<-ID->AK12(0)<Speaker>;M4A1(0)||:怪不得安潔這麼看重你呢。+別亂動，我會幫你把原本閒置的空間都用上，全都交給我吧，你可以利用這個時間和AR15談談心，說一些私密的話題也沒關係哦。
13432<-ID->AR15Mod(2)<Speaker>AR15</Speaker>;M4A1(0)||:私密什麼的……是你想聽吧？
13433<-ID->AK12(0)<Speaker>;M4A1(0)||:我可沒這麼說過~
13434<-ID->AK12(0);M4A1(0)||:
13435<-ID->()||:……咔嚓咔嚓，AK12開始仔細地進行升級工作。
13436<-ID->AK12(0);M4A1(0)<Speaker>||:……+……AR15。
13437<-ID->AR15Mod(0)<Speaker>AR15</Speaker>;M4A1(0)||:………
13438<-ID->AR15Mod(0);M4A1(0)<Speaker>||:除了我們…RO和SOP2之外的……+……指揮官……還有其他的人形，現在怎麼樣了？
13439<-ID->AR15Mod(3);M4A1(0)||:
13440<-ID->()||:……AR15好像猶豫了一下。
13441<-ID->AR15Mod(0)<Speaker>AR15</Speaker>;M4A1(0)||:那不關我的事……+最後聽AK12提起她們時，應該是撤退了。
13442<-ID->AR15Mod(0);M4A1(0)<Speaker>||:已經安全撤退了嗎？
13443<-ID->AK12(0)<Speaker>AR15</Speaker>;M4A1(0)||:怎麼說呢……從現場看應該是損失慘重吧。+就算以我的角度而言……
13444<-ID->AK12(0);M4A1(0)<Speaker>||:果然……+那群鐵血的渣滓……！+都是【主腦】……那傢伙欺騙了我……害得大家被……+我不會放過它們！絕對不放過它們！！
13445<-ID->AK12(0)<Speaker>;M4A1(0)||:……
13446<-ID->AK12(0);M4A1(0)||:
13447<-ID->()||:……AK12頭稍稍向AR15偏了一下，AR15嘆了口氣。
13448<-ID->AR15Mod(3)<Speaker>AR15</Speaker>;M4A1(0)||:M4A1……+我要告訴你事實，你要保持冷靜。
13449<-ID->AR15Mod(3);M4A1(0)<Speaker>||:什麼？
13450<-ID->AR15Mod(4)<Speaker>AR15</Speaker>;M4A1(0)||:這次格里芬行動失利的元凶並不是鐵血，而是軍方。+從一開始就是……軍方的陰謀。
13451<-ID->AR15Mod(4);M4A1(0)<Speaker>||:你說……什麼？+可是我們明明被……
13452<-ID->AR15Mod(4)<Speaker>AR15</Speaker>;M4A1(0)||:我知道你很困惑，M4A1，但這就是事實。+SOP2……還有RO……全部都是軍方幹的。
13453<-ID->AR15Mod(4);M4A1(0)<Speaker>||:軍方……+不，我不懂………為什麼……+整個行動不都是軍方發起的嗎……他們不該是……對鐵血……+為什麼……要對RO……要對RO……究竟是誰，真的是軍方的人嗎？？
13454<-ID->AK12(2)<Speaker>;M4A1(0)||:是軍方的人類小隊親自下的手，通過現場的彈孔和遺落物就足夠下定論了。+當然，軍方肯定會用【清理失控人形】把事件包裝起來。
13455<-ID->AR15Mod(0)<Speaker>AR15</Speaker>;M4A1(0)||:M4A1，你知道一名叫葉戈爾的上尉嗎？
13456<-ID->AR15Mod(0);M4A1(0)<Speaker>||:…………
13457<-ID->AR15Mod(3)<Speaker>AR15</Speaker>;M4A1(0)||:
13458<-ID->AR15Mod(4)<Speaker>AR15</Speaker>;M4A1(0)||:他就是襲擊你們的主謀和真凶。+我相信，是他親手向RO635開的槍。
13459<-ID->AR15Mod(4);M4A1(0)<Speaker>||:葉戈爾？不，這怎麼可能……他不是……
13460<-ID->AR15Mod(4)<Speaker>AR15</Speaker>;M4A1(0)||:M4A1，至少葉戈爾是謀害AR小組的凶手，這件事是不會變的。
13461<-ID->AR15Mod(4);M4A1(0)<Speaker>||:…………+葉戈爾是凶手……
13462<-ID->AK12(0)<Speaker>;M4A1(0)||:害怕了嗎？你要尋求的復仇對象，可是比鐵血恐怖一萬倍的敵人啊。
13463<-ID->AK12(0);M4A1(0)<Speaker>||:……+如果事實真是這樣……+不管對方是什麼，人形也好……人類也好……+我一定會親手幹掉它，我發誓。
13464<-ID->AK12(0)<Speaker>;M4A1(0)||:哎呀，這可不是通常人形會做出的發言啊。+不過升級快完成了，之後可別一股腦往外跑，要聽AR15的命令哦。
13465<-ID->AR15Mod(0)<Speaker>AR15</Speaker>;M4A1(0)||:M4A1，探求軍方行動背後的理由，就是我們這次的任務。+準備好一切之後就加入我們，你會找到答案的。
13466<-ID->AR15Mod(0);M4A1(0)<Speaker>||:加入你們的小隊？
13467<-ID->AK12(0)<Speaker>;M4A1(0)||:【忤逆】，喜歡這個名字嗎？
13468<-ID->AK12(0);M4A1(0)<Speaker>||<黑屏1>:只要能為RO635和SOP2報仇，我就加入。+我會服從你們和安潔的命令，直到我達成目的為止。
