()||<BIN>10</BIN>:【提示】請認真閱讀接下來的劇情教學以順利進行遊戲。
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:嗯！這樣就沒問題了。
K2(0)<Speaker>K2</Speaker>||:一下子就解決了？
TMP(0)<Speaker>TMP</Speaker>||:那個東西……究竟是什麼？
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:這個啊，是菲爾意志的具現化。+換句話說，就是菲爾本身的思念體。+她通過音樂引誘你們解放自己的心智，然後趁機將你們的部分心智剝離掉，封印在這個地方。
M950A(0)<Speaker>M950A</Speaker>||:所以，這就是我們不能順利從這裡下線的原因？
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:嗯，我猜你們現在心智圖中的數據已經不完整了，所以無法作為整體來通過驗證。
AEK999(0)<Speaker>AEK999</Speaker>||:喂喂，別說的和自己沒關係一樣啊。
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:啊抱歉抱歉，不過很遺憾，現在的我剛剛完全覺醒，所以沒法主動幫你們解鎖被封印的心智。
Thunder50(0)<Speaker>雷電</Speaker>||:那要怎麼回收這些心智呢？+這些……被奪走的【我們】。
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:你們需要挑戰被封印的自己。
K2(0)<Speaker>K2</Speaker>||:就是說，要戰鬥囉？
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:注意哦，這可不同於以往的戰鬥。+你們的目的是與對面的自己達成一定同步率。+這樣才能讓對方認清你們，然後主動融合進你們的心智雲圖裡。
Thunder50(0)<Speaker>雷電</Speaker>||:同步率，也就是說……
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:對，這就是你一直期待的——【演奏】！
()||:【提示】前方的戰鬥將與通常戰鬥完全不同，請閱讀以下說明。+首先，請提前關閉【自動技能】指令，並打開遊戲設置的【音樂】開關，以免出現突發狀況。+在音樂標記墜落到水平線的瞬間，準確點擊對應的人形技能圖標，以獲得對應的MAX同步率。+否則，人形將受到一定傷害。+在音樂播放結束前保證您的人形沒有全部被擊敗，即可獲得勝利。+最後提示，請提前關閉【自動技能】指令，並打開遊戲【音樂】以免出現突發狀況。
M950A(0)<Speaker>M950A</Speaker>||:被封印在這裡的會是誰呢？等待我們的是什麼音樂，來挑戰一下吧！
