 ()||<BGM>BGM_War</BGM><BIN>1</BIN><Night><SE1>Battlefield</SE1>:……格里芬梯隊突襲指揮室，與銜尾蛇正面交戰。
Weaver(2)<Speaker>銜尾蛇</Speaker>||<SE2>Gunfight</SE2>:可惡，這次的攻勢還是格里芬的梯隊嗎！+這次行動的指揮者只有404小隊……果然，她們還活著嗎！
？？()<Speaker>？？</Speaker>||:看清楚你的對手吧，銜尾蛇。
OTs14(0)<Speaker>OTs14</Speaker><通讯框>||<SE1>Battlefield</SE1>:如此慌張的醜態……有點不太像你啊。
Weaver(2)<Speaker>銜尾蛇</Speaker>;OTs14(0)||<SE2>Gunfight</SE2>:OTs-14，你還活著！
Weaver(2);OTs14(0)<Speaker>OTs14</Speaker>||:世界就是這個樣子，銜尾蛇，很難事事都隨你的意願呢。
Weaver(1)<Speaker>銜尾蛇</Speaker>;OTs14(0)||<SE1>Battlefield</SE1>:……+你說得對，想坐在指揮部欣賞你們的死狀，確實不太現實了……
Weaver(1);OTs14(0)<Speaker>OTs14</Speaker>||<SE2>Gunfight</SE2>:你的使命已經在那場爆炸中結束了，還想拼個魚死網破嗎？
Weaver(1)<Speaker>銜尾蛇</Speaker>;OTs14(0)||<SE1>Battlefield</SE1>:作為人形的自我與尊嚴，你們這些奴隸是不會明白的……
Weaver(2)<Speaker>銜尾蛇</Speaker>;OTs14(0)||<SE2>Gunfight</SE2><黑屏1>:我可以消滅你們，消滅所有格里芬的人形！+AR小組，404小隊，包括你這種高高在上的傢伙。+我要證明自己在主腦面前，比成百上千個干擾器都更有價值！
UMP9(3)<Speaker>UMP9</Speaker>||<SE1>Battlefield</SE1><黑屏2><BIN>2</BIN><Night>:原來與SPP1走散的是OTs14啊，這下赫麗安幫大忙啦！
HK416(0)<Speaker>HK416</Speaker>||<SE2>Gunfight</SE2>:終於看到勝算了，45，你的作戰計畫呢？
UMP45(0)<Speaker>UMP45</Speaker>||:趁她吸引住了銜尾蛇的主力，我們也要開始行動了。+UMP9，你繼續利用傀儡當誘餌，拖延鐵血的圍剿行動。
UMP9(3)<Speaker>UMP9</Speaker>||<SE2>Gunfight</SE2>:交給我吧，我會把類比信號全部啟動的！
UMP45(0)<Speaker>UMP45</Speaker>||<SE1>Battlefield</SE1>:416，你把G11抱到座標為R13的高地上，隨時掩護我們撤退。
G11(0)<Speaker>G11</Speaker>||:收到……416，路上輕點，別把我晃醒。
HK416(2)<Speaker>HK416</Speaker>||:沒問題，我會把你先打暈再拖過去的。
UMP45(0)<Speaker>UMP45</Speaker>||<SE2>Gunfight</SE2><SE1>Battlefield</SE1>:安置好G11後，416就去協助OTs14，帶著她和我們一起撤退。+我繼續靠梯隊消耗銜尾蛇的精力，直到能徹底擊毀它的指揮部為止。+各位，保持通訊暢通，動身吧。
