()||<BIN>99</BIN><BGM>BGM_stage10</BGM><Night><黑屏2>:……作戰結束。
NPC-Kalin(0)<Speaker>格琳娜</Speaker>||:太好了，我們做到了！+計量官停止了追擊，指揮官，趁現在趕緊衝過去——
NPC-Kalin(0);BOSS-7(0)<Speaker>計量官</Speaker><通讯框>||:格里芬的指揮官，你們不會以為自己已經逃離我的掌心了吧？
NPC-Kalin(2)<Speaker>格琳娜</Speaker>;BOSS-7(0)||:誒？
NPC-Kalin(2)<Speaker></Speaker>;BOSS-7(0)||:……滴。
NPC-Kalin(2)<Speaker>格里芬人形A</Speaker>;BOSS-7(0)||:指揮官，我們的梯隊遭到大量鐵血突襲！已經無法和後方梯隊接應了！
NPC-Kalin(4)<Speaker>格琳娜</Speaker>;BOSS-7(0)||:什麼！？從哪裡！
NPC-Kalin(4)<Speaker>格里芬人形B</Speaker>;BOSS-7(0)||:指揮官！我們被鐵血單位包圍！對方沒有繼續推進，但是現在——！
NPC-Kalin(4);BOSS-7(0)<Speaker>計量官</Speaker>||:那是代理人原本給我準備的增援梯隊，我提前當作埋伏部署下來了而已。+格里芬的指揮官，你的後方大半部隊已經被全副武裝的鐵血包圍了，它們隨時都能開火。+你的人形存亡全看我的意志……或者，你想捨棄她們獨自逃掉？
NPC-Kalin(4)<Speaker>格琳娜</Speaker>;BOSS-7(0)||:…………+我們……不會隨便捨棄掉任何人形的……+別以為我們打不過你，計量官！
NPC-Kalin(4);BOSS-7(0)<Speaker>計量官</Speaker>||:我不懷疑，但是你們的勝利會建立在多少人形的傷亡之上呢？
NPC-Kalin(4)<Speaker>格琳娜</Speaker>;BOSS-7(0)||:喂喂，等一下！這樣太卑鄙了，不是你的風格吧！
NPC-Kalin(4);BOSS-7(0)<Speaker>計量官</Speaker>||:消滅視野中所有非鐵血單位，這本來就是我這次的任務。+我只是給你們一個額外的機會罷了。
NPC-Kalin(3)<Speaker>格琳娜</Speaker>;BOSS-7(0)||:那你到底……想做什麼？
NPC-Kalin(3);BOSS-7(0)<Speaker>計量官</Speaker>||:建築師。
NPC-Kalin(2)<Speaker>格琳娜</Speaker>;BOSS-7(0)||:誒？
NPC-Kalin(2);BOSS-7(0)<Speaker>計量官</Speaker>||:建築師還關在你們那裡吧？+把它的下落告訴我，我確認之後就立刻解除包圍。+如果你們有我的資料，你們就知道我不會說謊。
NPC-Kalin(3)<Speaker>格琳娜</Speaker>;BOSS-7(0)||:……指揮官？+……是啊，這根本做不到啊，只能試試看了。
NPC-Kalin(3)<Speaker>格琳娜</Speaker>;BOSS-7(0)||:計量官，建築師現在被關在總部的秘密看守所裡。+那可是格里芬的內部機密，我們這些前線人員是沒法過問的。+當然啦，至少我們能保證她還活著就是——
NPC-Kalin(3);BOSS-7(0)<Speaker>計量官</Speaker>||:我說過，把建築師的下落告訴我，這是釋放人質的條件。+不管你用什麼辦法，立刻查出來！
NPC-Kalin(3)<Speaker>格琳娜</Speaker>;BOSS-7(0)||:可是……我們現在連自己的老闆都聯繫不到，更別說一個囚犯了，所以——
NPC-Kalin(3);BOSS-7(0)<Speaker>計量官</Speaker>||:那麼，第一批人質你們馬上也聯繫不到。
NPC-Kalin(4)<Speaker>格琳娜</Speaker>;BOSS-7(0)||:請……請等等，讓我們再——
NPC-Kalin(4);BOSS-7(0)<Speaker>計量官</Speaker>||<黑屏1>:這不是我想聽的答案，動手——
NPC-Kalin(4)<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑屏2>:……嗡——！+…………+……
NPC-Kalin(2)<Speaker>格琳娜</Speaker>||:誒？？+斷電了？
NPC-Kalin(4)<Speaker>格琳娜</Speaker>||<黑屏1>:不對……是通訊被中斷了……+到底發生了什麼……+指揮官……大家……怎麼樣了……+我們……該怎麼辦……
