()||<BIN>99</BIN><BGM>BGM_Sneak</BGM><黑屏2>:…………
NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:M4，能聽到嗎？
M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>;NPC-Ange(0)||:很清楚。
M4A1Mod(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:我想你也明白，現在已經是很危急的時刻了。+想要阻止軍方，光消滅掉鐵血是不夠的。+我們需要了解得更多，更深入。
M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:嗯。
M4A1Mod(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:所以我就說得簡單直白了，我已經知道你和主腦要見面。+我猜它交易的條件是失蹤的SOP2和M16。
M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:…………
M4A1Mod(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:然而事實上你並不抱希望，所以你準備和它同歸於盡。
M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:已經過去太久了…………你要阻止我嗎？
M4A1Mod(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:你知道一句話嗎？我們的眼睛就是我們的監獄，而目光所及之處就是監獄的圍牆。+不要被自己的認知束縛，不要被盲目的仇恨誤導。
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:所以呢？所以我就什麼都不做嗎？只是聽著你的命令？！+你曾經答應過我讓我去尋找我的同伴！但結果呢！
M4A1Mod(4);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:如果她們已經不在了呢？
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:……如果她們已經不在了，那麼我要每個傷害她們的人都付出代價！
M4A1Mod(4);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:如果要復仇，你又該朝誰復仇？+殺死所有的鐵血？殺死葉戈爾上尉？然後呢？
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:不需要然後了。+我不能什麼都不做……我不能變回原來的那個我……那個怯懦的我……
M4A1Mod(4);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:怯弱雖然可恥，但不致命。+勇敢令人讚嘆，卻會帶你步入深淵。
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:那麼……我究竟該怎麼做……+我也不想一直被別人保護，我也不想一直接受別人的犧牲，如果我可以選擇，我甚至不想成為M4A1！
M4A1Mod(4);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:現在你還可以選擇。+選擇即使你的隊友已經不在了，也不會與主腦同歸於盡的結局。
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:……+你想捕捉它，你想要我捕捉它。
M4A1Mod(4);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:這是最後的機會，也是讓更多人不用繼續被傷害的最後的機會。+和她見面，拖延時間，然後其他人會想辦法抓住她。+你接受這個要求嗎？
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:如果我失敗了呢？
M4A1Mod(4);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:那麼我會啟動最終方案。什麼都不會剩下。
M4A1Mod(4)<Speaker>M4A1</Speaker>;NPC-Ange(0)||<黑屏1>:那麼……對我來說沒有區別。
AR15Mod(0)<Speaker>AR15</Speaker>||<BIN>98</BIN><黑屏2>:差不多是時候了。+M4，你能看到空投的位置嗎？+還有404那邊怎麼樣了？
M4A1Mod(0)<Speaker>M4A1</Speaker>||:…………
AR15Mod(0)<Speaker>AR15</Speaker>||:M4？
M4A1Mod(3)<Speaker>M4A1</Speaker>||:啊……抱歉……沒看到空中有空投。
AR15Mod(0)<Speaker>AR15</Speaker>||:404那邊呢？
M4A1Mod(0)<Speaker>M4A1</Speaker>||:……剛才我沒和她們同步訊息。
AR15Mod(0)<Speaker>AR15</Speaker>||:……你怎麼了……？+別和我說到了這個時候你開始緊張起來了。
M4A1Mod(0)<Speaker>M4A1</Speaker>||<黑屏1>:不……我只是……+……404的訊息來了。+她們發現空投的位置了。
G11(2)<Speaker>G11</Speaker>||<BIN>71</BIN><黑屏2>:這次任務實在是太久了……我的手腳都要斷了……
UMP9(3)<Speaker>UMP9</Speaker>||:啊哈哈，偶爾也讓G11鍛煉鍛煉嘛~
G11(2)<Speaker>G11</Speaker>||:我不要鍛煉……我想永遠待在家裡……
UMP45(0)<Speaker>UMP45</Speaker>||:先忍一忍吧~說不定以後就不用再執行任務了~♪
HK416(0)<Speaker>HK416</Speaker>||:從你的嘴裡說出來讓人不寒而慄啊……
UMP45(0)<Speaker>UMP45</Speaker>||:不用在意這種小事，周圍的情況如何？
HK416(0)<Speaker>HK416</Speaker>||:你覺得M4真的不知道M16的行蹤嗎？
UMP45(0)<Speaker>UMP45</Speaker>||:這就是你巡邏完的報告？
HK416(0)<Speaker>HK416</Speaker>||:我不認為她會這麼簡單失蹤。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:如果你這麼關心她的話，不如離開404和我一起去找她。
UMP45(0)<Speaker>UMP45</Speaker>||:你們已經到了啊。+416，怎麼樣，這聽起來是個好主意哦？
HK416(0)<Speaker>HK416</Speaker>||:……嘖，G11，和我繼續警戒周圍。
G11(2)<Speaker>G11</Speaker>||:為什麼我也得去啊……
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:看來主演都已經到齊了，讓我們來瞧瞧這個空投裡到底藏了什麼好東西。
UMP9()<Speaker>UMP9</Speaker>||<BIN>133</BIN><黑屏2>:一個奇怪的……儲藏器？+……難道是彈頭嗎？
UMP45()<Speaker>UMP45</Speaker>||:看起來是個存儲裝置，一共有五個……+我不知道安潔從哪裡弄來的，但顯然的這一個玻璃彈就比一整個鐵血還要可怕。
UMP9()<Speaker>UMP9</Speaker>||:這麼危險的東西嗎？從外表看不出來啊……
UMP45()<Speaker>UMP45</Speaker>||:看來這就是我們能給軍方的最大驚喜了。+AR15，該是你施展絕活，炸藥的接線和安裝就交給你啦♪
AR15()<Speaker>AR15</Speaker>||:你這傢伙，果然是故意的吧？
UMP45()<Speaker>UMP45</Speaker>||<黑屏1>:你可是在場的爆破紀錄保持人呢。你在出發前不是也一如往常的帶上了那些東西嗎？+我可不想要因為一點操作經驗上的失誤就白白死在這，所以才交給你的哦。
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>71</BIN><黑屏2>:AR15。
AR15Mod(0)<Speaker>AR15</Speaker>||:………我明白了。
AR15Mod(0)<Speaker>AR15</Speaker>||:一共8枚C型TNT，可以遙控引爆，另外還有湮滅識別和串聯鋁熱能夠做定向爆破。+你打算用來做什麼？
UMP45(0)<Speaker>UMP45</Speaker>||:說實話，我也不是很清楚呢。不如問問安潔？+安潔，能聽到嗎？我們拿到你空投過來的東西了。
UMP45(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker><通讯框>||:是嗎，比我預想的要早一些嘛。+所有人都在了嗎？
M4A1Mod(0)<Speaker>M4A1</Speaker>;NPC-Ange(0)||:都已經集合，等待你的下一個命令。
M4A1Mod(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:好吧，這麼說來我們可以進入下一階段了。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:在讓我們送死之前，不解釋一下這個東西裡面裝的是什麼東西嗎？
UMP45(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:我來看一下。+從影像裡看，應該是密封環向偏振器。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:所以，裡面的東西是？
UMP45(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:可識別的坍塌液，這老頭還真敢把這東西這麼從天上扔下來啊……而且還是五枚。+不過單枚的容量並不大……這樣的話製造的污染區並不會太大……
UMP9(2)<Speaker>UMP9</Speaker>;NPC-Ange(0)||:坍塌液的話，莫非是讓之前世界戰爭爆發的東西……
UMP9(2);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:竟然會有人形去了解歷史知識，這得好好誇獎一下啊。
UMP9(3)<Speaker>UMP9</Speaker>;NPC-Ange(0)||:嘿嘿嘿……
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:那些坍塌液已經和遙控炸藥配合在了一起了，我猜你應該也是想用這個來製作髒彈吧？+這東西爆炸的話，對人類的影響會比對人形要大得多吧？
UMP45(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:坍塌輻射，就是因為人類無法進入有輻射的污染區，才有人形被研發出來哦，這也是歷史課的一部分。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:所以並不是只有我們在送死。
