 ()||<BIN>3</BIN><Night><BGM>BGM_NightOPS</BGM><SE1>Battlefield</SE1>:……戰鬥進入尾聲。
G11(0)<Speaker>G11</Speaker>||:劊子手四肢破壞完畢，目標達成。
HK416(0)<Speaker>HK416</Speaker>;G11(0)||:狀態恢復得不錯呢，G11。
HK416(0);G11(0)<Speaker>G11</Speaker>||:有你在前面送死……我覺得安心多了。
HK416(0)<Speaker>HK416</Speaker>;G11(0)||:好好感激我吧，以前的你可沒這種待遇呢。
HK416(0);UMP9(3)<Speaker>UMP9</Speaker>||:哎呀，大家都是一家人啊，別在乎那麼多人情啦。
HK416(0)<Speaker>HK416</Speaker>;UMP9(3)||:如果你是正規出產的，我倒是很想相信你。
HK416(0);UMP9(3)<Speaker>UMP9</Speaker>||:哈哈，有什麼區別嘛，我們現在的日子不也挺好的？
G11(0)<Speaker>G11</Speaker>;UMP9(3)||:一點都不好，我想回家……
G11(0);HK416(0)<Speaker>HK416</Speaker>||:接受現實吧，你早就無家可歸了……
UMP45()<Speaker>UMP45</Speaker>||<黑屏1>:你們幾個，別聊些沒用的啦，快幫忙檢查劊子手。
UMP9(0)<Speaker>UMP9</Speaker>||<黑屏2>:哼哼，多虧干擾器封閉了通訊，這下我們可以好好“審問”它啦。
UMP9(0)<Speaker>UMP9</Speaker>||<震屏>:（踢了一腳）喂，有什麼遺言嗎？等我們運走了干擾器，可以幫你傳給你們主子哦。
ExcutionerElite(1)<Speaker>劊子手</Speaker>||:真是遺憾，恐怕你們什麼都傳不出去了……
ExcutionerElite(1)<Speaker>劊子手</Speaker>||<BGM>BGM_Sneak</BGM>:因為這個干擾器周圍，全都佈滿了炸藥哦。
G11(2)<Speaker>G11</Speaker>||:……？！炸藥？
ExcutionerElite(1)<Speaker>劊子手</Speaker>||:是無法逃脫的高爆炸藥哦。只要“砰！”的一聲，404也好，干擾器也好，一切都會煙消雲散。
UMP9(4)<Speaker>UMP9</Speaker>||:等等！鐵血的干擾器，不是你們這次的保護對象嗎？！
ExcutionerElite(0)<Speaker>劊子手</Speaker>||<黑屏1>:所以說銜尾蛇那傢伙，就是這麼個為所欲為的傢伙啊……
Weaver(0)<Speaker>劊子手</Speaker>||<BIN>9</BIN><黑屏2>:它從一開始就計畫好了，利用獵手拖延時間，由我在干擾器周圍安放炸藥。+無論你們如何行動，只要到達了這裡，結局就只有一個……
Weaver(0)<Speaker>HK416</Speaker>||:銜尾蛇……為什麼你會服從那種人形的鬼命令。
Weaver(0)<Speaker>劊子手</Speaker>||<黑屏1>:404小隊，你手上的格里芬梯隊，難道就有別的選擇嗎？
ExcutionerElite(0)<Speaker>劊子手</Speaker>||<BIN>3</BIN><黑屏2><Night>:你讓她們為了你的利益去送死時，會考慮她們內心的想法嗎？
UMP45(2)<Speaker>UMP45</Speaker>||:…………
UMP9(2)<Speaker>UMP9</Speaker>||:45姐……
G11(0)<Speaker>G11</Speaker>||:回不了家了……是嗎？
HK416(0)<Speaker>HK416</Speaker>||:（苦笑）那就跪下來道歉吧，45，這一刻我等太久了。
ExcutionerElite(1)<Speaker>劊子手</Speaker>||<黑屏1>:等待人形的，既不是天堂也不是地獄。+404小隊，你們就和我一起……+永遠地從世上消失吧……
 ()||<BIN>8</BIN><黑屏2><Night><BGM>BGM_Empty</BGM><SE1>Explode</SE1>:……S06區被鐵血佔領的臨時指揮室。
Weaver(0)<Speaker>銜尾蛇</Speaker>||<BGM>BGM_Boss</BGM>:代理人，很遺憾地向您報告。+我們的干擾器，在剛才的爆炸中被破壞了。+炸藥是劊子手擅自安放並啟動的，現在她可能已經和404小隊一起在爆炸中覆滅了。
BOSS-8(0)<Speaker>代理人</Speaker><通讯框>;Weaver(0)||:那個干擾器是【傘】計畫實施的重要工具，結果只換掉了四個雜碎人形的賤命……
BOSS-8(0);Weaver(0)<Speaker>銜尾蛇</Speaker>||:抱歉，是我忽視了獵手和劊子手AI中不穩定的成分，沒有及時察覺它們的失職。+我已經派遣的梯隊前往爆炸地點，確認它們的生還情況。
BOSS-8(0)<Speaker>代理人</Speaker>;Weaver(0)||:這樣的結果還確認什麼，銜尾蛇。+現在就立即撤退，我要更為詳細的報告，聽到了嗎。
BOSS-8(0);Weaver(0)<Speaker>銜尾蛇</Speaker>||<黑屏1>:是……謹遵您的指令，代理人。
Weaver(1)<Speaker>銜尾蛇</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:全體位於S06區的鐵血梯隊，聽從銜尾蛇的命令……+……擴大對404的搜索範圍，將行動效率提升到最高。+一旦發現任何生還的格里芬人形，立刻集中火力將其剿滅！+……光靠這些雜魚還不夠，必須眼見為實。+不親眼看到404小隊的屍體，這次行動就不能落幕！
