()||<BIN>9</BIN><BGM>BGM_Danger</BGM>:……滴。
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:指揮官？內蓋夫？你們在嗎！
NEGEV(0)<Speaker>內蓋夫</Speaker>||<黑屏2><BIN>2</BIN>:M16，你們去哪兒了！+現在S08區到處都是鐵血，而且還強得離譜！+我們差點就提前撤退，不等你了！
M16(3)<Speaker>M16A1</Speaker><通讯框>||:抱歉，因為一些事耽誤了一下。+內蓋夫，指揮官，聽著，先不要管其它事態。+煉金術士的部隊開始行動了，恐怕是衝著你們來的。
NEGEV(0)<Speaker>內蓋夫</Speaker>;M16(3)||:哼，清算舊帳的時候到了嗎？+那你呢，你和SOP-II要去哪兒？
NEGEV(0);M16(3)<Speaker>M16A1</Speaker>||:我們有我們的安排，應付得過來，不用擔心。+你們小心一點，指揮官，好好保護內蓋夫她們！
NEGEV(0)<Speaker>內蓋夫</Speaker>;M16(3)||:喂！M16！喂喂！
NEGEV(0);BOSS-5(0)<Speaker>煉金術士</Speaker><通讯框>||:早安啊，格里芬的各位。+狩獵就要開始了，你們準備好了嗎？+而且，我很期待與你的再次見面呀，內蓋夫小姐……
NEGEV(0)<Speaker>內蓋夫</Speaker>;BOSS-5(0)(0)||:是嗎？不過我現在可是超級火大啊，煉金術士……+你最好祈禱別被我遇上，尤其在還有一口氣的時候……
NEGEV(0);BOSS-5(0)<Speaker>煉金術士</Speaker>||:哦？憑你那上世紀的子彈又能撐多久呢？+讓我猜猜看吧，你會和你的同伴一起被我撕碎，還是倒在獨自落逃的路上呢？+你就把最棒的恐懼寫在臉上，等著我來摘取吧！
NEGEV(0)<Speaker>內蓋夫</Speaker>;BOSS-5(0)(0)||<黑屏1>:求之不得呢，鐵血的混蛋……
內蓋夫()<Speaker>內蓋夫</Speaker>||<黑屏2><BIN>9</BIN>:讓戰鬥開始吧，指揮官。+沒什麼比痛飲仇敵之血更令人沉醉了。
