()||<BIN>2</BIN><BGM>BGM_Sneak</BGM><Night>:S09區，鐵血爭端地帶……
FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:……FNC，呼叫，FNC。
()||<BIN>2</BIN><Night>:……通訊對面傳來了咀嚼聲。
FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>2</BIN><Night>:唔……唔……（嚼嚼）
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:（歎氣）你給我把零食咽下去再說話。
FNFNC(0)<Speaker>FN-FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:唔…！唔！唔唔唔唔——！（嚼嚼）+唔哦！好啦！什麼事FAL？
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:還什麼事……當然是彙報情況了。+你已經到達目標據點了吧，異常的鐵血訊號探明了嗎？
FNFNC(0)<Speaker>FN-FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:目前沒什麼發現呢……除了些鐵血的巡邏部隊。
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:49那邊呢？她在另一個哨站偵察吧。
FNFNC(0)<Speaker>FN-FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:她是報告了很多東西啦，那傢伙……有點動靜應該就會報過來。+其中有件事我也有點在意，（小聲嘟囔）雖然和鐵血沒什麼關係……
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:什麼事，姑且說來聽聽。
FNFNC(0)<Speaker>FN-FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:天氣啊，今天的天氣倒是蠻異常的呢……+風力很強，氣壓也很低……天空也很不妙的樣子。
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:……把腦袋挪一邊去，給我看看天上。
FNFNC(0)<Speaker>FN-FNC</Speaker>;FAL(0)<通讯框>||<BIN>2</BIN><Night>:喏……+你看那團黑壓壓的雲彩，很像旋渦吧？+通常天氣預報裡才有這種效果吧？+就像是塊生氣了的棉花糖，感覺隨時會爆炸呢。
