关闭蒙版()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>82</BIN><BGM>BGM_Hello</BGM>:……大年三十，下午。+人形宿舍內。
()<Speaker></Speaker>||:MP5趴在床上看著眼前的那隻……生物。
MP5(6)<Speaker>MP5</Speaker>||:說起來這個傢伙，是豬吧？+你是從哪裡來的呢？仿生豬也和我們人形是一樣出生的嗎？
()<Speaker></Speaker>||:MP5正對著這隻仿生豬自言自語的時候，56-1式正好從窗前路過。+56-1式倚在窗台衝著MP5打招呼。
56-1type(4)<Speaker>56-1式</Speaker>||:提前說聲過年好！MP5！你不出去和大家一起打麻將嗎？+我看她們都在為了年夜一決高下練習呢。
MP5(6)<Speaker>MP5</Speaker>||:啊，是五六一呀。+不了，我還要照顧這個傢伙……
56-1type(4)<Speaker>56-1式</Speaker>||:幾天不見，你的豬看起來又胖了些呢！+嗯，你真的照顧得很好！
MP5(6)<Speaker>MP5</Speaker><Shake>||:欸？我有嗎？不過還是謝謝……
()<Speaker></Speaker>||:56-1式打完招呼，就從窗邊離開了。
MP5(6)<Speaker>MP5</Speaker>||:五六一每次看到豬的時候，雙眼好像都在放光呢，讓人好在意啊。
MP5(6)<Speaker></Speaker>||:MP5抬頭看了看時鐘，拍了拍仿生豬的頭，跳下床。
MP5(6)<Speaker>MP5</Speaker>||:又到了出門放風的時間啦。+走吧，豬，你要多走走哦，不然就會變得很胖很胖然後就再也走不動了。+哎我就是因為每天的活動量太大了，導致現在喝了好多牛奶也沒有明顯的長高……+唔……對了，好像也不能一直叫你【豬】，該給你取一個什麼名字好呢……
()<Speaker></Speaker>||<黑点1>:MP5一邊自顧自念叨著，一邊帶著豬走出宿舍。
()<Speaker></Speaker>||<BIN>83</BIN><黑点2>:……基地廣場。
()<Speaker></Speaker>||:MP5蹲在草地上看仿生豬打滾。
MP5(6)<Speaker>MP5</Speaker>||:我能把你養成乖巧的寵物嗎？應該可以的吧？+雖然指揮官沒頭沒腦就把你丟給我這件事，我實在是想不通耶……
()<Speaker></Speaker>||<黑屏1>:MP5回想起那天的情形。
()<Speaker></Speaker>||<BIN>8</BIN><黑屏2><回忆>:……幾天前。+指揮室。
()<Speaker></Speaker>||:MP5敲了敲門，探頭進來，看到指揮官在擺弄一個白白圓圓的東西。
MP5(6)<Speaker>MP5</Speaker>||:指揮官，您找我呀？+<color=#A9A9A9>（欸指揮官手裡那個是什麼……？）</color>
