()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<回忆><BIN>82</BIN><黑屏2><BGM>BGM_Hello</BGM>:……清晨。+格里芬宿舍。
PSG1(2)<Speaker>PSG-1</Speaker>||:蝙蝠裝飾的動作流暢程度，獠牙在不同角度下的反光，斗篷立領的角度……全部調整完畢。+那麼，這次的試膽大會，我來了。
()<Speaker></Speaker>||:PSG-1露出了勢在必得的笑容，尖銳的獠牙反射出了刺眼的光芒。
m45(2)<Speaker>m45</Speaker>||:PSG-1小姐，試膽大會的終極獎品——最新版的智能烤箱就靠你了！
PSG1(2)<Speaker>PSG-1</Speaker>||:放心吧，不過是10分就能換來的獎品，你在終點等我就好。+對了，這次的餅乾多加點糖吧，吸血鬼也是很需要糖分的。
()<Speaker></Speaker>||<黑屏1>:PSG-1最後一次端詳了下鏡中神秘陰森的吸血鬼，就離開宿舍直奔試膽大會現場了。
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><回忆><黑屏2><BIN>88</BIN>:……昏暗的倉庫。+一個嬌小的身影鬼鬼祟祟地溜了進去。
FNFNC(2)<Speaker>FNC</Speaker>||<BGM>BGM_Sneak</BGM>:居然被MG3抓住了，辛苦收穫的糖果全沒了……+不過沒關係，還有更美味的東西在等著我！+嘿嘿，大家都在忙著嚇人，我悄悄拿兩塊巧克力也不會被發現的……
()<Speaker></Speaker>||:FNC熟門熟路地走向放置巧克力的物資陳列架，將罪惡的魔爪伸向了箱中……
FNFNC(2)<Speaker>FNC</Speaker>||:怎麼是空的？
()<Speaker></Speaker>||<BIN>89</BIN>:倉庫的燈突然亮起，PSG-1從門外走來。
PSG1(2)<Speaker>PSG-1</Speaker>||:你怎麼又來偷吃巧克力了？+昨晚我不是告訴過你，我們物資裡的巧克力全被你吃光了嗎？
FNFNC(2)<Speaker>FNC</Speaker>||:什麼？！我昨晚根本沒來過這裡，你認錯人了吧？
()<Speaker></Speaker>||:面對FNC的回答，PSG-1卻帶著複雜的表情沉默了下來。
PSG1(2)<Speaker>PSG-1</Speaker>||:……+FNC，你有沒有聽說過基地最近發生的怪事……
FNFNC(2)<Speaker>FNC</Speaker>||:什、什麼怪事？
()<Speaker></Speaker>||:PSG-1貼近FNC耳邊放低了聲音……+不知道PSG-1說了什麼，只見FNC僵硬地低頭，一灘紅色的黏稠液體緩緩流過腳邊……
FNFNC(2)<Speaker>FNC</Speaker><Shake>||:<size=50>嗚啊啊啊啊啊——！</size>
()<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:目送著FNC奪門而逃的PSG-1滿意地在記事本上寫下了什麼。
()<Speaker></Speaker>||<回忆><黑屏2><BIN>1</BIN><BGM>BGM_Room</BGM>:……小樹林中。+F1坐在樹枝上，面對著黑色夜空中格外明亮的月亮。
F1(2)<Speaker>F1</Speaker><Position>0,150</Position>||:這樣美好的月色，該用什麼樣的詩句才能夠描繪下來呢？+唔嗯，一輪圓圓的月盤……
()<Speaker></Speaker>||:PSG-1從樹下的陰影走到月色中來。
PSG1(2)<Speaker>PSG-1</Speaker>||:F1，我剛剛在那邊看見了一處非常美麗的景觀。+一束月光穿入高高的樹冠……真想知道樹冠裡有什麼東西啊……
()<Speaker></Speaker>||:F1的眼睛一亮，然後從樹枝上躍下。
F1(2)<Speaker>F1</Speaker><Position>0,150</Position>||:你快帶我去看看吧。
()<Speaker></Speaker>||:兩人肩並肩地走進樹下的黑暗中……+很快，一聲尖叫驚起了林中的飛鳥……
F1(2)<Speaker>F1</Speaker><Position>0,150</Position><Shake>||:<size=50>啊啊啊啊啊啊啊——</size>
()<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:目送著F1飛快地跑出樹林的PSG-1滿意地在記事本上寫下了什麼。
()<Speaker></Speaker>||<回忆><黑屏2><BIN>46</BIN><BGM>BGM_stage10</BGM>:……電梯門口。+G36C獨自等待著給自己買熱飲的G36歸來。+這時，電梯的提示燈突然變紅了。
G36C(4)<Speaker>G36C</Speaker><Position>-100,0</Position>||<BIN>47</BIN>:誒……是姐姐回來了嗎？
()<Speaker></Speaker>||:電梯門向兩側緩緩打開，PSG-1裹挾著一股陰森的氣息走了出來。
PSG1(2)<Speaker>PSG-1</Speaker>||:G36C，這是G36讓我帶給你的熱飲。
G36C(4)<Speaker>G36C</Speaker><Position>-100,0</Position>||:謝謝！那……G36姐去哪了？
()<Speaker></Speaker>||:PSG-1沉重地嘆了口氣。
PSG1(2)<Speaker>PSG-1</Speaker>||:G36讓我不要告訴你……不過……+我覺得你還是有必要知道……
()<Speaker></Speaker>||:PSG-1輕輕附在G36C的耳邊，不知道說了什麼。+G36C低頭看著手裡溫熱的暗紅色的熱飲，又抬頭看了看PSG-1在黑暗中微微發光的獠牙……
G36C(4)<Speaker>G36C</Speaker><Position>-100,0</Position><Shake>||:<size=50>哇啊啊啊啊啊啊姐姐救我啊啊啊啊！</size>
()<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:目送著G36C衝下樓梯的PSG-1滿意地在記事本上寫下了什麼。
()<Speaker></Speaker>||<回忆><黑屏2><BIN>9</BIN>:接下來，宿舍、訓練場、維修間……接連爆發出驚人的尖叫聲……
()<Speaker></Speaker>||<SE1>AVG_keyboardtype_sci</SE1><黑点1>:在靠北版上，MDR將PSG-1稱為<color=#DC143C>“有史以來最具天賦的嚇人專家”</color>……+然而，這份連勝的運氣終於在小樹林中被終結了。
()<Speaker>廣播</Speaker>||<黑点2><BIN>1</BIN>:<color=#FFFF00>扮演組PSG-1，出局！戰績：8。</color>
()<Speaker></Speaker>||:PSG-1狼狽不堪地被手銬鎖在十字架上。
PSG1(3)<Speaker>PSG-1</Speaker><Position>0,200</Position>||:……+我居然信了MDR的吸血鬼情報……+好了，既然你已經贏了，那可以放我下來了吧？
M870P(0)<Speaker>M870</Speaker>||:那怎麼行呢？辛苦捕獲來的獵物，當然要炫耀給大家啊！+你就乖乖呆在我的舞台上做我的戰利品吧♪
()<Speaker></Speaker>||<黑屏1>:PSG-1面對著M870離去的背影咬牙切齒。
()<Speaker></Speaker>||<黑屏2><BGM>m_avg_labyrinth</BGM>:被困在十字架上的PSG-1不知道掙扎了多久，面前的灌木叢突然被撥開，KSVK從中走出。
KSVK(4)<Speaker>KSVK</Speaker>||:我聽見遠方傳來命運的呼喚……
PSG1(3)<Speaker>PSG-1</Speaker><Position>0,200</Position>||:KSVK？救救我……
KSVK(4)<Speaker>KSVK</Speaker>||:原來是你在呼喚我啊，PSG-1。+被一副手銬桎梏在了十字架上？這對於吸血鬼而言可真夠諷刺……
PSG1(3)<Speaker>PSG-1</Speaker><Position>0,200</Position>||:別說了……快幫我把手銬打開！
()<Speaker></Speaker>||:KSVK走近十字架仔細一看，PSG-1的手腕上赫然是幾道掙扎的傷痕。
KSVK(4)<Speaker>KSVK</Speaker>||:你在這裡被困了多久？
PSG1(3)<Speaker>PSG-1</Speaker><Position>0,200</Position>||:不記得了……根據廣播的播報數量推算，應該快有一個小時了。
KSVK(4)<Speaker>KSVK</Speaker>||:在這麼漫長的等待裡，就沒有誰的面容浮現在你的雲圖中嗎？
PSG1(3)<Speaker>PSG-1</Speaker><Position>0,200</Position>||:……
()<Speaker></Speaker>||:PSG-1的心智雲圖中又播放了一遍m45滿懷期待的表情。
PSG1(3)<Speaker>PSG-1</Speaker><Position>0,200</Position>||:大家都在忙著玩試膽大會呢哈哈。
()<Speaker></Speaker>||:KSVK不動聲色地將PSG-1擠出的沉穩冷靜的笑容收入眼底。
KSVK(4)<Speaker>KSVK</Speaker>||:我倒是知道一個沒有參與試膽大會的人形。+明明只對烘焙感興趣，但卻在MDR的帖子下面追著問你的情報，簡直像是你的鐵粉。
PSG1(3)<Speaker>PSG-1</Speaker><Position>0,200</Position><Shake>||:……
KSVK(4)<Speaker>KSVK</Speaker>||:看最新的回帖，這個奇怪的人形似乎在終點等著你。
PSG1(3)<Speaker>PSG-1</Speaker><Position>0,200</Position>||:……m45？
KSVK(4)<Speaker>KSVK</Speaker>||:我也不知道是誰這麼關心一個落魄吸血鬼，你要是感興趣的話就自己去看看吧。
()<Speaker></Speaker>||<黑屏1>:KSVK若有所思地打開了手銬，然後轉身離開了。
()<Speaker>KSVK？</Speaker>||<BGM>BGM_Empty</BGM><黑屏2><BIN>9</BIN>:<size=25>雖然很不願意承認，但或許我真的和格里芬的小垃圾們有一些共同之處吧。</size>
()<Speaker>PSG-1</Speaker>||:你在說什麼？
()<Speaker></Speaker>||<黑屏1><关闭蒙版><SE1>AVG_whitenoise</SE1>:KSVK的身影卻突然在原地消失了。
()<Speaker></Speaker>||<Night><BIN>82</BIN><睁眼>:PSG-1從夢中猛然驚醒。
m45(2)<Speaker>m45</Speaker>||:PSG-1小姐，你終於醒了！
PSG1(2)<Speaker>PSG-1</Speaker>||:怎麼回事？我剛剛好像在夢裡復盤了我的萬聖節行動……
()<Speaker></Speaker>||<BGM>BGM_Hello</BGM>:m45貼心地扶PSG-1坐起來。
m45(2)<Speaker>m45</Speaker>||:昨天的試膽大會上，PSG-1小姐被鎖在十字架上，可能是被鎖了太久加上一直掙扎、嚎叫……+導致能量耗盡，部分記憶沒有及時上傳，雲圖也出現了混亂，我剛把你從修理槽裡接回來。+格琳娜小姐說你有關昨晚的記憶可能會出現一定程度的紊亂，幫助你理清現實可能有助於恢復。
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:都是M870幹的好事……總之先來理清一下吧……+我……我夢見我為了幫你贏得烤箱，嚇壞了好多人形……+MDR還稱呼我“有史以來最具天賦的嚇人專家”！
PSG1(2);m45(2)<Speaker>m45</Speaker>||:……+那你從頭講給我聽吧，PSG-1小姐。
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:好的，我把我的嚇人事蹟一一的講給你聽。+一開始，我先去了倉庫，把所有的巧克力藏了起來。+然後等FNC進去偷巧克力吃的時候，假裝吸血鬼，用血漿把她嚇得逃走了！
PSG1(2);m45(2)<Speaker>m45</Speaker>||:唔，你確實去了倉庫，想要假裝吸血鬼在地上倒血漿嚇FNC小姐來著……+也確實嚇了FNC小姐一跳，只是……
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:只是……？
PSG1(2);m45(2)<Speaker>m45</Speaker>||:只是你不小心踩在自己倒的血漿上摔倒了，還連帶撞翻了物資陳列架，差點壓到FNC小姐身上……
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:……+那我們繼續講下一個吧。
PSG1(2);m45(2)<Speaker>m45</Speaker>||:好的，PSG-1小姐，你別慌，先喝口水壓壓驚。
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:呼——我接下來去了小樹林，遇見正在賞月的F1。+我告訴她要帶她去什麼奇妙的盛景，然後在路上假裝聽見了狼人的悄悄話！+F1當時的臉色跟天上的月亮一樣白慘慘的哈哈！
PSG1(2);m45(2)<Speaker>m45</Speaker>||:昨晚，F1小姐也確實在樹林中賞月，不過……
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:怎麼又是不過……
PSG1(2);m45(2)<Speaker>m45</Speaker>||:不過，PGS-1小姐在接近F1小姐的路上被樹根絆倒了，還撞到了頭……+鬼哭狼嚎的聲音差點把F1小姐嚇得從樹上摔下來……
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:……+算了，下一個總是真實發生過的了吧！
PSG1(2);m45(2)<Speaker>m45</Speaker>||:你講給我聽吧，PSG-1小姐。
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:我在電梯門口發現了落單的G36C，因為之前看見G36在買熱飲說要帶給G36C來著，就推測G36C是在等G36回來！+然後我給了G36C一瓶血漿，謊稱是G36委託我帶給她的。+之後悄悄給她講了個吸血鬼的恐怖故事，她就嚇得扭頭衝下樓梯了！
PSG1(2);m45(2)<Speaker>m45</Speaker>||:G36C小姐確實是被你嚇到了……不過……+我還是不要說細節了，總之PSG-1小姐成功嚇到了G36C小姐！
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:呼——總算有一個是對的了……
PSG1(2);m45(2)<Speaker>m45</Speaker>||:那然後呢？嚇到了G36C小姐之後，PSG-1小姐又去了哪裡？
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:之後，我去了小樹林，卻被假裝吸血鬼的M870嚇到了。+還被拷在了十字架上……
PSG1(2);m45(2)<Speaker>m45</Speaker>||:這一點倒是完全吻合呢！
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:為什麼聽見這個消息我一點都高興不起來……
PSG1(2);m45(2)<Speaker>m45</Speaker>||:再然後呢？在PSG-1小姐昏迷之前，你最後記得的事是什麼？
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:我記得我被鎖在十字架上很久，好不容易等到了KSVK把我放了下來，KSVK跟我說了幾句話就憑空消失了……+然後我的夢在這裡也結束了。
PSG1(2);m45(2)<Speaker>m45</Speaker>||:確實是KSVK小姐把已經當機的PSG-1小姐帶回來的……
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:……所以MDR也沒有在匿名版裡稱呼我為“有史以來最具天賦的嚇人專家”？
PSG1(2);m45(2)<Speaker>m45</Speaker>||:MDR小姐倒是有對PSG-1小姐進行專題報告……+不過給你的稱號是……<color=#32CD32>“史上最倒霉的嚇人新手”</color>……
PSG1(2)<Speaker>PSG-1</Speaker><Shake>;m45(2)||<BGM>BGM_Empty</BGM>:不可能……
PSG1(2)<Speaker>PSG-1</Speaker>||:等等，我記得我把所有行動都記錄在了本子上！
()<Speaker></Speaker>||:PSG-1慌亂地翻出了自己隨身的本子，開始一條一條念出來。
PSG1(2)<Speaker>PSG-1</Speaker>||:……+倉庫，FNC，血漿戰略遭遇意外……+樹林，F1，幻聽戰略遭遇意外……+電梯，G36C，總之成功了……
()<Speaker></Speaker>||:PSG-1頹然放下了本子，仿佛一瞬間掉了百分之八十的能量。
PSG1(2)<Speaker>PSG-1</Speaker>||<BGM>GF_Memorial</BGM>:……所以，我最後也沒有幫你拿到烤箱？
PSG1(2);m45(2)<Speaker>m45</Speaker>||:抱歉，PSG-1小姐……+你一共拿到了8分，還差一點就……
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:……+這樣嗎……+該說抱歉的是我吧……明明答應了你……
PSG1(2);m45(2)<Speaker>m45</Speaker>||:沒關係的，PSG-1小姐。+烤箱什麼的，其實沒有那麼重要的……
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:……+我沒事，不用安慰我……+不過是丟臉了幾次……對我這種生活無法自理的人形來說很正常啦……
PSG1(2);m45(2)<Speaker>m45</Speaker>||:PSG-1小姐，我沒有在安慰你！+相反，我還要感謝你！
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:有什麼好謝的呢？我連答應你的烤箱都……
PSG1(2);m45(2)<Speaker>m45</Speaker>||:就算沒有最新的烤箱，我也能烤出最好吃的點心啊！
m45(2)<Speaker>m45</Speaker>||:你知道我的秘訣嗎？
PSG1(2)<Speaker>PSG-1</Speaker>||:……什麼秘訣？
()<Speaker></Speaker>||:m45湊到PSG-1的耳邊溫柔地說。
m45(2)<Speaker>m45</Speaker>||:那就是——+一邊想象著吃到這塊餅乾的人形臉上的笑容，一邊把這份笑容揉進餅乾裡！+如果沒有PSG-1小姐的笑容的話，我也做不出這麼好吃的餅乾！
()<Speaker></Speaker>||:m45從口袋中拿出了一塊餅乾遞給了PSG-1。
m45(2)<Speaker>m45</Speaker>||:你看，這是以你為靈感做出來的吸血鬼小餅乾，還有血漿果凍……+所以，PSG-1小姐，就算是為了餅乾，也請你保持美好的笑容吧！
()<Speaker></Speaker>||:PSG-1看著手中吸血鬼造型的小餅乾，不知不覺漾起了輕鬆的笑容。
PSG1(2)<Speaker>PSG-1</Speaker>||:謝謝你，m45……
PSG1(2);m45(2)<Speaker>m45</Speaker>||:也謝謝你，PSG-1小姐……
PSG1(2)<Speaker>PSG-1</Speaker>;m45(2)||:對了！我想去跟KSVK道個謝……
PSG1(2);m45(2)<Speaker>m45</Speaker>||:嗯！我本來打算待會去呢。
m45(2)<Speaker>m45</Speaker>||<黑屏1>:我已經準備好了給KSVK小姐的餅乾。
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><Night><BIN>97</BIN><黑屏2>:……十分鐘後。+格里芬宿舍，KSVK的房間門口。
PSG1(2)<Speaker>PSG-1</Speaker>||<SE1>AVG_doorknock_wood</SE1>:KSVK，你在嗎？+我們想來和你道個謝……
()<Speaker></Speaker>||:沒有回應。
m45(2)<Speaker>m45</Speaker>||:KSVK小姐還沒回來嗎？那這些餅乾我們就放在門口啦。
()<Speaker></Speaker>||:宿舍的門突然打開了一條縫，露出了KSVK驚恐的雙眼。
KSVK(4)<Speaker>KSVK</Speaker>||:我有個恐怖的故事要講給你們聽……
