()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>22</BIN><黑屏2>:……
()<Speaker></Speaker>||:【距離美人魚小隊出發還剩72小時】
Type88(0)<Speaker>88式</Speaker>||:不要慌張，88式。+還有72小時，沒有問題的。+不就是研發個反溺水配件嗎？很簡單的……
Type88(0)<Speaker>88式</Speaker>||<黑点1>:只要我有靈感……
()<Speaker></Speaker>||<黑点2><BIN>8</BIN>:2小時前。
()<Speaker>指揮官</Speaker>||<BGM>GF_Cafe</BGM>:……好了，以上就是本次任務的相關情報。+大家按照分組先互相熟悉下吧。+散會！
Type88(0)<Speaker>88式</Speaker>||:後勤救援組……+可是我不會游泳啊……
SPS(0)<Speaker>謝爾久科夫</Speaker>||:你好，88式。+我是謝爾久科夫。
Type88(0)<Speaker>88式</Speaker>||:你好……請多指教！
SPS(0)<Speaker>謝爾久科夫</Speaker>||:你的情況，我已經大概向指揮官了解過了。+這次任務難度較低，正式執行任務前，我會對你進行相關培訓的。+還請你放心~
Type88(0)<Speaker>88式</Speaker>||<黑点1>:嗯！謝謝你……
Type88(0)<Speaker>88式</Speaker>||<黑点2><BIN>9</BIN><黑点1>:雖然說是這樣說，可是一直麻煩謝爾久科夫也不太好……+還是要為自己準備些緊急裝置的……
()<Speaker></Speaker>||<黑点2><BIN>22</BIN><BGM>BGM_Empty</BGM>:【距離美人魚小隊出發還剩48小時】
Type88(0)<Speaker>88式</Speaker>||<BGM>BGM_Hello</BGM>:不行了，我已經一整天沒闔眼了。+我需要休息一下清理緩存……
Type88(0)<Speaker>88式</Speaker>||:可是，我甚至還沒想出設計圖……
Type88(0)<Speaker>88式</Speaker>||:……+還是再忍忍吧。
()<Speaker></Speaker>||:【距離美人魚小隊出發還剩36小時】
Type88(0)<Speaker>88式</Speaker>||:ZzzZzzz……
()<Speaker></Speaker>||:88式用手撐著下巴迷迷糊糊睡著了，眼見著手肘一點點向外滑去……
Type88(0)<Speaker>88式</Speaker>||:啊！+我怎麼睡著了……
Type88(0)<Speaker>88式</Speaker>||:完了完了，只剩36小時了！+這下時間更緊張了！
Type88(0)<Speaker>88式</Speaker>||:清醒點！快好好設計啊！
