()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>72</BIN><黑屏2>:……
()<Speaker></Speaker>||:<color=#FFFF00>【“向帥氣又可愛的指揮官坦白”作戰計劃載入中……】</color>+<color=#FFFF00>【載入完成】</color>+<color=#FFFF00>【第357次模擬作戰啟動】</color>
4type(0)<Speaker>四式</Speaker>||<BGM>GF_Memorial</BGM>:指揮官，你在做這次任務的準備嗎？+其實……+吾輩……有事想告訴指揮官……
()<Speaker></Speaker>||:……
4type(0)<Speaker>四式</Speaker>||:指揮官，對不起！+吾輩……吾輩對你撒謊了……+這次行動的情報是假的！！
4type(0)<Speaker>四式</Speaker>||:吾輩不是想存心戲弄指揮官！+只是受人威脅，逼不得已才……
4type(0)<Speaker>四式</Speaker>||:指揮官你不要生吾輩的氣！+嗚嗚嗚，不要拆吾輩的火控核心啊！
4type(0)<Speaker>四式</Speaker>||:煤窯？！不要啊！！！+吾輩不想去煤窯嗚嗚嗚……
4type(0)<Speaker>四式</Speaker>||:<size=50>指揮官！指揮官！！不要走啊！！！</size>
()<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:<color=#FFFF00>【第357次模擬作戰失敗】</color>+<color=#FFFF00>【模擬作戰結果：被拆掉火控核心送去煤窯】</color>
()<Speaker>指揮官</Speaker>||<黑屏2><BIN>8</BIN><BGM>BGM_Hello</BGM>:四式，有什麼心事嗎？怎麼在這裡發呆？
4type(0)<Speaker>四式</Speaker>||<立绘震动>:啊！指揮官……
4type(0)<Speaker>四式</Speaker>||:吾……吾輩在進行作戰前的準備！+畢竟是第一次去海邊執行任務呢……+還怪緊張的哈哈……<c>儘管放心吧，我的計劃可是很周全嚴密的。<c>不用緊張，有我在。
4type(0)<Speaker>四式</Speaker>||<分支>1</分支>:嗯！我相信指揮官的決策！
4type(0)<Speaker>四式</Speaker>||<分支>2</分支>:是、是的！+（吾輩的心智雲圖好像極速升溫了……）
()<Speaker>指揮官</Speaker>||<黑点1>:你繼續做準備吧，我去確認其他成員的準備情況。
()<Speaker></Speaker>||<BIN>9</BIN><黑点2><BGM>BGM_Empty</BGM>:……
4type(0)<Speaker>四式</Speaker>||:嗚嗚……+吾輩的指揮官怎麼能這麼帥氣……
4type(0)<Speaker>四式</Speaker>||<震屏>:啊！糟了！+吾輩……還是沒能將實情告訴指揮官……+不行啊！一定要對指揮官坦白！
4type(0)<Speaker>四式</Speaker>||<黑屏1>:可是……+如果這次行動取消的話，吾輩根本沒有靈感更新漫畫……+死線也快到了，不更新的話一定會被編輯……
()<Speaker></Speaker>||<黑屏2><回忆><BIN>80</BIN><BGM>GF_Cafe</BGM>:……
()<Speaker>催更編輯</Speaker>||<震屏>:什麼！！！+沒有靈感？！這就是你拖更的理由？+拜託……好歹給我一點有說服力的理由啊喂！+我們這一行也很辛苦的……
4type(0)<Speaker>四式</Speaker>||:對不起！+可是，吾輩真的毫無靈感……+最近也沒有什麼執行任務的機會……
()<Speaker>催更編輯</Speaker>||:沒有靈感，那就去製造靈感。+規矩是死的，人是活的啊！+啊對不起，忘了你是人形……+有了，你可以這樣！
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||:…………
4type(0)<Speaker>四式</Speaker>||<震屏>:什麼！！！+你居然讓吾輩編造謊言騙指揮官執行虛假的任務？！+不行不行！吾輩絕對不會背叛指揮官的！
()<Speaker>催更編輯</Speaker>||:你們不是有格里芬討論版嗎？+匿名上去發個虛假的情報文，指揮官也不會知道是你幹的。
4type(0)<Speaker>四式</Speaker>||:不行不行！+吾輩做不到！
()<Speaker>催更編輯</Speaker>||:（嘴角揚起一抹邪惡的笑）+那看來，你可愛的指揮官明天就會知道……+最近很火的指揮官做主角的少女漫畫的作者是誰了……+啊呀，上次好像還給我們留言問這部漫畫的作者是誰來著呢……
4type(0)<Speaker>四式</Speaker>||:你、你！+答應過吾輩絕不洩密的！
()<Speaker>催更編輯</Speaker>||<黑点1>:不想被洩密的話，就去給我好好製造靈感吧♪+喏，貼文我已經幫你寫好了。+就用最近很火的美人魚做主題怎麼樣哈哈哈哈……
4type(0)<Speaker>四式</Speaker>||<关闭蒙版><BIN>9</BIN><黑点2><BGM>BGM_Empty</BGM>:別說被編輯出賣了……+說不定坦白之後，當場就會被憤怒的指揮官摳掉火控核心……+然後送去煤窯……
4type(0)<Speaker>四式</Speaker>||<BGM>BGM_Wake</BGM>:在黑漆漆的煤窯……+吾輩將永遠看不見指揮官，更不可能更新連載了！
4type(0)<Speaker>四式</Speaker>||<黑屏1>:<size=50>不要啊！！！</size>
()<Speaker>指揮官</Speaker>||<BIN>8</BIN><黑屏2>:四式？快過來集合，我們準備出發了！
4type(0)<Speaker>四式</Speaker>||:收到！吾輩這就來！
4type(0)<Speaker>四式</Speaker>||<黑屏1>:吾輩……+終於還是做了有愧於指揮官的事啊……
()<Speaker></Speaker>||<BIN>162</BIN><BGM>BGM_Empty</BGM><黑屏2>:……
()<Speaker>指揮官</Speaker>||<BGM>m_avg_casual</BGM>:好的，接下來我們就按之前的分組各自進行任務吧！+此次任務比較輕鬆，在這附近的海域搜索與美人魚有關的任何情報。+各小組以成員安全為首要目標，前往指定地點執行任務吧。+記得按時向我匯報情況。
()<Speaker>美人魚調查小分隊</Speaker>||:收到！
4type(2)<Speaker>四式</Speaker>||<黑点1>:太好了！接下來可以近距離觀察指揮官了！+吾輩的一切努力都沒有白費！
()<Speaker></Speaker>||<黑点2>:四式藏在指揮官附近的椰子樹後，認真記錄著指揮官的行動。
4type(2)<Speaker>四式</Speaker>||:指揮官果然選擇了先安排先鋒搜查組的工作啊。+先鋒搜查組……好像是路易士和R93……+讓吾輩湊近一點看看……
Lewis(2)<Speaker>路易士</Speaker>||:報告指揮官，先鋒搜查組目前進展順利！+R93已經先一步進入目標區域偵查了！+不過，我這裡有一點小問題……
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:路易士掏出了防曬用品。
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||:…………
4type(2)<Speaker>四式</Speaker>||<BGM>BGM_Danger</BGM>:路易士……+居然讓指揮官幫她擦防曬！！！+<size=50>太過分了！！！</size>
4type(2)<Speaker>四式</Speaker>||:<size=30>吾輩……</size>+<size=30>什麼時候能擁有那樣的榮譽……</size>
4type(2)<Speaker>四式</Speaker>||:現在不是東想西想這些的時候！+四式，振作起來！+要好好畫下指揮官的每一刻，這都是吾輩寶貴的靈感啊。
()<Speaker></Speaker>||:指揮官幫路易士擦完防曬後，路易士突然手持防曬用品逼近了指揮官。
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||:…………
4type(2)<Speaker>四式</Speaker>||:居然還想給指揮官擦防曬？！+路·易·士！+吾、吾輩要跟你決一死戰！
4type(2)<Speaker>四式</Speaker>||<Delay>:等等！+好險……還好沒有衝出去……+哈哈，路易士被指揮官拒絕了♪
4type(2)<Speaker>四式</Speaker>||<黑点1><BGM>BGM_Empty</BGM>:看來指揮官要移動到下一個小組了。+吾輩也要繼續跟上了！
4type(2)<Speaker>四式</Speaker>||<黑点2>:指揮官到這麼偏僻的角落做什麼呢？+那裡好像有什麼東西在動？
Type88(4)<Speaker>88式</Speaker>||<BGM>BGM_Moon</BGM>:指揮官……+我……
4type(2)<Speaker>四式</Speaker>||:那是後勤救援組的88式？+吾輩好像聽說過88式游泳模組的缺陷……+為了這次任務，88式也一直在努力研發什麼配件來著。+不過就算研製出提升游泳能力的配件，果然還是很難踏出那一步吧。
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||:…………
4type(2)<Speaker>四式</Speaker>||:指揮官好溫柔啊！+這麼耐心地開導88式……
SPS(2)<Speaker>謝爾久科夫</Speaker>||:88式，原來你在這裡啊。
4type(2)<Speaker>四式</Speaker>||:後勤救援組的謝爾久科夫也來了。+根據情報，謝爾久科夫接受過專業的訓練，應該能保護好88式……
4type(2)<Speaker>四式</Speaker>||:最近基地的人形都出去探索了，留下來的本來也不多。+指揮官選中88式加入隊伍，也是無奈之舉吧。
4type(2)<Speaker>四式</Speaker>||<黑点1>:……+等等……+如果不是吾輩散布的謠言，88式現在應該也在基地專注自己的研發吧。+……+88式，這一期的漫畫，吾輩一定把你畫得最美！
4type(2)<Speaker>四式</Speaker>||<黑点2>:指揮官來到了海邊。+誒？那是誰……+叫什麼來著……吾輩怎麼毫無印象……+莫非吾輩的記憶模組進水了？
()<Speaker>指揮官</Speaker>||:Z-62，你怎麼一個人在海里抱著個大西瓜？
4type(2)<Speaker>四式</Speaker>||:原來叫Z-62。+根據排除法，應該是游走機動組的了。+怎麼不見C-MS……
Z62(3)<Speaker>Z-62</Speaker>||:指揮官……+我、我在給C-MS冰西瓜……
()<Speaker></Speaker>||:Z-62開始向指揮官報告游走機動組的任務進展。
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||:…………
4type(2)<Speaker>四式</Speaker>||:嗚嗚……Z-62好慘啊！+為什麼會有人形是【毫無存在感】的設定，一直被遺忘真的太難受了。+C-MS真是的，安排完Z-62在海里冰西瓜就把別人忘記了！+Z-62還一直在海里等著……嗚嗚……
()<Speaker></Speaker>||:在指揮官的開導下，Z-62開始訴說自己的真實想法。
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||:…………
4type(2)<Speaker>四式</Speaker>||:果然即使說著習慣了，毫不在意什麼的，實際上也還是很想被記住的啊。+Z-62，這一期的漫畫就讓你做女主角了！
4type(2)<Speaker>四式</Speaker>||:指揮官要去休息了嗎？+那正好吾輩也來整理下草稿！+今天搜集到的素材夠畫好幾期的呢~+短期之內應該不用擔心連載沒靈感的問題了！
4type(2)<Speaker>四式</Speaker>||:那麼，今天指揮官的日程是……+給所有成員講解任務，然後先去了先鋒搜查組，被討厭的路易士纏著塗防曬……+然後去後勤救援組，安撫了可憐的88式……+接下來是……
4type(2)<Speaker>四式</Speaker>||:誒？接下來是和誰……+是誰在海裡抱著個大西瓜來著……
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:遠處的海里炸開一聲尖叫。
()<Speaker></Speaker>||<震屏>:啊啊啊啊啊啊！！！
4type(2)<Speaker>四式</Speaker>||<BGM>m_avg_tension</BGM>:有誰在海裡尖叫！+一定是發生了什麼可以連載幾十期漫畫的事！+吾輩來了——！
()<Speaker></Speaker>||:四式衝向大海，迅速爬到泳圈上，懷裡緊緊護著辛苦畫出來的草稿，用另一隻手小心但飛快地劃動著，逐漸向尖叫聲的方向靠近。
4type(2)<Speaker>四式</Speaker>||<黑点1>:那是——+先鋒搜查組的R93？+難道她找到了美人魚？！+不對啊……+美人魚的情報不是吾輩瞎編的嗎……
Type88(4)<Speaker>88式</Speaker>||<黑点2><黑点1>:撐住！+我來救你了！
4type(2)<Speaker>四式</Speaker>||<黑点2>:那是88式！+接受了指揮官的安撫之後，變得勇敢了起來。+果然指揮官就是有這樣神奇的力量呢！
4type(2)<Speaker>四式</Speaker>||:現在88式正在努力朝R93接近，R93撐住啊！+88式開始加速了，就像一條所向披靡的鯊魚在海中殺出一條血路！+加油88式！你是最——
()<Speaker>88式</Speaker>||:救命啊！咳咳！+我……咕嘟嘟嘟……不會游泳！
()<Speaker></Speaker>||:四式小心翼翼地靠近泳圈的邊緣，以便觀察得更仔細。
4type(2)<Speaker>四式</Speaker>||:……+……88式？
()<Speaker>謝爾久科夫</Speaker>||:88式！我來救你了！
()<Speaker></Speaker>||:看見謝爾久科夫出手救88式，四式興奮地又向泳圈邊緣挪動了一點。
4type(2)<Speaker>四式</Speaker>||:果然關鍵時刻還是受過專業訓練的謝爾久科夫靠譜啊。+看那矯健的身姿，堅定的步伐，真是渾身都透露出一股專業的氣息！+吾輩之前就說過嘛，88式不會有危險的，只要有謝爾久——+嗯？那隻烏鴉在幹什麼？+謝爾久科夫好像不太……
()<Speaker>謝爾久科夫</Speaker>||:啊！咕嘟嘟嘟……我……+……小腿……故障了……咕嘟嘟……
4type(2)<Speaker>四式</Speaker>||:……+或許吾輩還是閉嘴比較合適。
4type(2)<Speaker>四式</Speaker>||:等等！+88式……+她站起來了！+指揮官的安撫沒有白費！
4type(2)<Speaker>四式</Speaker>||:88式！加油啊！+站起來！站起來！
4type(2)<Speaker>四式</Speaker>||:哇啊啊啊！！！+88式居然還抱起了謝爾久科夫！這不是吾輩漫畫中才會出現的嘛？！+正如吾輩所言，88式你是最——
()<Speaker></Speaker>||:四式因為過於激動，用力地拍起了泳圈，卻忘記了自己正在泳圈的邊緣徘徊……
4type(3)<Speaker>四式</Speaker>||:啊！！！+咕嘟嘟嘟……
()<Speaker></Speaker>||:幸好四式的游泳模組性能不錯，四式很快爬回了自己的泳圈。+只是，四式的草稿就沒那麼幸運了……
4type(2)<Speaker>四式</Speaker>||<黑点1>:啊啊啊啊啊啊！！！+吾輩的草稿！！！+吾輩的心血全都——！！！
()<Speaker></Speaker>||<BIN>9</BIN><黑点2><BGM>BGM_Empty</BGM>:……
4type(2)<Speaker>四式</Speaker>||<BGM>BGM_Wake</BGM>:沒想到，竟然走向了最壞的結局……+接下來就是畫不出漫畫被編輯出賣，指揮官根據這條線索再稍稍追查，就會發現虛假情報的幕後黑手是吾輩……+然後憤怒的指揮官就會當場拆掉吾輩……+吾輩的餘生都將在黑暗沉悶的煤窯中耗盡……
4type(2)<Speaker>四式</Speaker>||:這或許就是吾輩的報應吧。+為了能有靈感畫出新一期的漫畫，不惜偽造情報欺騙指揮官執行任務 。+最終辛辛苦苦畫好的草稿也全沒了……
4type(2)<Speaker>四式</Speaker>||:嗚嗚嗚……可惡！+果然比起煤窯，吾輩還是更想去咖啡店啊！+不對啊！都什麼時候了！還在糾結煤窯、咖啡店？！
()<Speaker>？？？</Speaker>||<黑点1><BGM>BGM_Empty</BGM>:四……四式！+……式……四……！
()<Speaker>指揮官</Speaker>||<BIN>162</BIN><黑点2><BGM>GF_Memorial</BGM>:四式？四式？！
4type(2)<Speaker>四式</Speaker>||:！！！+指揮官！
()<Speaker>指揮官</Speaker>||:嚇死我了，我還以為你熱當機了。+一直對著大西瓜念叨什麼煤窯、咖啡店的……
4type(2)<Speaker>四式</Speaker>||:指揮官……+吾、吾輩……有事想要告訴您……+但是！吾輩開口之前，想斗膽請指揮官答應吾輩一件事……
4type(2)<Speaker>四式</Speaker>||<Dealy>:那就是……+無論發生什麼，都不要把吾輩趕走好嗎？+只要能待在指揮官身邊，吾輩做什麼都行！<c>我答應你。<c>你先告訴我吧。
()<Speaker></Speaker>||:四式將自己虛構美人魚情報的事情如實講了一遍。
()<Speaker></Speaker>||:……
()<Speaker>指揮官</Speaker>||:……+哦，這樣啊。
4type(2)<Speaker>四式</Speaker>||:指揮官……您不生吾輩的氣嗎……？
()<Speaker>指揮官</Speaker>||:一切都在我的意料之中。+我早就知道了，我不是說過我的計劃是很周密的？
4type(2)<Speaker>四式</Speaker>||:嗯……是的。+可您卻依然願意陪我演這一齣戲？
()<Speaker>指揮官</Speaker>||:我本來打算這次任務就當度假了。+所以有沒有美人魚其實都不重要了。
4type(2)<Speaker>四式</Speaker>||:那什麼才是……重要的呢？<c>……當然是和大家在一起的快樂時光。<c>……當然是和你在一起的快樂時光。
4type(2)<Speaker>四式</Speaker>||<分支>1</分支>:是啊，吾輩的靈感都來自和大家共度的時光呢。+可今天吾輩卻一直忙著趕……啊不沒什麼……+總感覺錯過了很多快樂呢。
4type(2)<Speaker>四式</Speaker>||<分支>2</分支>:指揮官……吾……對吾輩而言，停留在指揮官身邊的時光也是最寶貴的。+只是，指揮官也能這樣認為，真是……太好了……+可惜今天吾輩一直在趕……啊不沒什麼……+錯過了很多快樂……
()<Speaker>指揮官</Speaker>||:沒關係的。+今日份的快樂時光還沒有結束，過來一起準備晚餐吧。
4type(2)<Speaker>四式</Speaker>||:……嗯！+謝謝指揮官！+吾輩明白了……
4type(2)<Speaker>四式</Speaker>||<黑点1>:吾輩這就來！
4type(2)<Speaker>四式</Speaker>||<BIN>9</BIN><黑点2>:漫畫對我來說是很重要的東西。+因為能記錄下……很多對吾輩來說很美好很重要的東西……+哪怕有一天吾輩的心智雲圖被格式化了，只要看著這些東西也一定會再一次……+再一次想起指揮官！想起大家！
4type(2)<Speaker>四式</Speaker>||:原來重要的從來都不是漫畫啊，重要的是和指……啊和大家在一起的快樂時光。+吾輩畫漫畫的初心是為了記錄這份快樂啊，可惜後來愚鈍的吾輩卻為了能畫出漫畫，而忽略了和大家在一起的快樂……+甚至還為失去了漫畫的草稿而傷心不已……
4type(2)<Speaker>四式</Speaker>||:明明我擁有的今日的快樂都還在啊，都還好好儲存在我的心智雲圖裡。+吾輩擁有的快樂才是獨一無二不可再生的！
4type(2)<Speaker>四式</Speaker>||:好了，現在要去幫指揮官准備晚餐了！+新一期漫畫的事，就等回到基地再開始吧！+怎麼能為了畫漫畫而錯過和大家的快樂時光呢？！
4type(2)<Speaker>四式</Speaker>||<黑屏1>:大家！+吾輩來了——
