()<Speaker>指揮官</Speaker>||:ハッピーホワイトデー、P22。+君のチョコだ、受け取ってくれ。
P22(2)<Speaker>P22</Speaker>||:ホワイトデーのお返しですか？　もちろん、私がいただきます。+あなたの分はありません……なに？　あなたも欲しいと？+ダメです。
P22(2)<Speaker>指揮官</Speaker><同时置暗>||:……大丈夫だ、P22。+このチョコには二つの味がある。
P22(2)<Speaker>P22</Speaker>||:二つの味？　指揮官の性格的に、//n70%以上の可能性でブラックだと思うけど、あなたはどう思う？+この色はストロベリーじゃない？//nでも指揮官はそんな甘い物好きではなさそうですし。
P22(2)<Speaker>指揮官</Speaker><同时置暗>||:食べてみれば分かるさ。
P22(2)<Speaker>P22</Speaker>||:ええ、とてもよくできているわ……+では私はこっち、あなたはそっちで？+いいわ、でも、どの味を口にしても、後悔しちゃダメよ。+ありがとうございます、指揮官、私たちはとても嬉しいです。
P22(2)<Speaker>指揮官</Speaker><同时置暗>||:気に入ってくれたら何よりだよ。
()<Speaker></Speaker>||:チョコを受け取ったP22を見て、指揮官はほっとした。
P22(2)<Speaker>P22</Speaker>||:ハッピーホワイトデー、指揮官。
P22(2)<Speaker>指揮官</Speaker><同时置暗>||:君もだよ、P22。
()<Speaker></Speaker>||:……
