()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
NytoIsomer(0)<Speaker>失格異性体（？）</Speaker>||<BIN>569</BIN><黑屏2>:……
NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||:あなたは……
NytoIsomer(0)<Speaker>ニモゲン</Speaker>||:私は失格異性体の集まり。あなたにとってのノイズ、失敗作。+その代表として、「ニモゲン」と呼んでいいわ。
NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||:ニモゲン……実験序列のあの……+……どうしてここに？
NytoIsomer(0)<Speaker>ニモゲン</Speaker>||:あなたはまだ、湖の底を見ていない。蝶でも、死海を飛び越えることは//nできない。+私がここにいるのは、ここが私の帰る場所だから。//nここは私の生まれた場所ではなく、私の魂の墓場。
NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||:……彼女なのね？+彼女がその先にいるのね？
NytoIsomer(0)<Speaker>ニモゲン</Speaker>||:あなたは心配している。怖がっている。考えている。+大丈夫。心配しなくてもいい。怖がらなくてもいい。考えなくてもいい。
NytoIsomer(0)<Speaker>ニモゲン</Speaker>||:彼女の名を騙っても、彼女は怒ったりしない。+あなたのしたことに、失望や悲しみを覚えることもない。
NytoIsomer(0)<Speaker>ニモゲン</Speaker>||:彼女は私たち。私たちは彼女。
NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||:……
NytoIsomer(1)<Speaker>ニモゲン</Speaker>||:行こう。彼女に会いに行こう。「私たち」に会いに行こう。+そして……理解しよう。私たちを、自分を。+いずれ分かる。自分の帰る場所が。
()||<黑点1>:
