()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker>シャドレス</Speaker>||<BGM>BGM_Wake</BGM><common_effect>%%code=NPC_TV_15%%</common_effect><BIN>348</BIN>:……デモに対し消極的な対応を取った政府の行動は、市民たちの更なる不満を引き起こしています。
()<Speaker>シャドレス</Speaker>||<黑屏1>:本日、新ハーミル区のデモ活動にて、二名の警官が暴力によって……
NPC-Light(0)<Speaker>ライト</Speaker>||<BIN>82</BIN><关闭蒙版>%%</关闭蒙版><黑屏2>:……
NPC-Light(0)<Speaker></Speaker>||<SE1>AVG_Door_Open_Close</SE1>:ドアが開いた。
NPC-Light(0)<Speaker>ライト</Speaker>||<SE1>AVG_footsteps_woodfloor</SE1>:晩ご飯、冷蔵庫の中だから。
NPC-Light(0);NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:はーい。+何見てるの？
NPC-Light(0);NPC-Shadowless(8)<Speaker></Speaker>||:シャドレスはバックをソファーに投げ捨て、//n慣れた動きで冷蔵庫から冷えたビールを取り出した。
NPC-Light(0)<Speaker>ライト</Speaker>;NPC-Shadowless(8)||:ニュース。
NPC-Light(0)<Speaker></Speaker>;NPC-Shadowless(8)||:シャドレスはビールを啜りつつ、片腕をライトの頭に乗せ、//nなにか思うところあるようにテレビを眺めた。
NPC-Light(0);NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:ちょっとくせ毛になってるかしら？
NPC-Light(0)<Speaker>ライト</Speaker>;NPC-Shadowless(8)||:酒、やめたんじゃなかったんですか？
NPC-Light(0);NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:仕事終わりのビールはノンアルコールなの。
NPC-Light(0)<Speaker>ライト</Speaker>;NPC-Shadowless(8)||:まぁ別にいいんですけど。姉さんちゃんとジム通ってるし。+それよりももう少し気を付けてください。+この間もデモの現場にいたんでしょ？
NPC-Light(0);NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:私に説教しているつもり？
NPC-Light(0);NPC-Shadowless(8)<Speaker></Speaker>||:シャドレスはライトの頭を叩いた。
NPC-Light(0);NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:あの程度でビビるようだったら、//nとっくにオフィスに引き籠ってプレスリリース書いてるわよ。+記者ってのはそういう仕事なの。//n心配なら、さっさとそっちの仕事を辞めて手伝いに来てよ！+場所はいつでも空いてるからさ。
NPC-Light(0)<Speaker>ライト</Speaker>;NPC-Shadowless(8)||:……それは無理な話ですよ。+もう何度も同じ話をしたじゃないですか。
NPC-Light(0);NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:フン……
NPC-Light(0)<Speaker></Speaker>;NPC-Shadowless(8)||:あっという間に、シャドレスはソファーに座った。//nしかしあえてライトから少し距離を取ったようだ。
NPC-Light(0);NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:今日の昼間、サナトリウムにいたよね？
NPC-Light(0)<Speaker>ライト</Speaker>;NPC-Shadowless(8)||:いや。
NPC-Light(0)<Speaker></Speaker>;NPC-Shadowless(8)||:ライトは無意識に頭を上げて否定したが、シャドレスと視線が合った。
NPC-Light(0);NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:私に嘘は通じないわよ。+ケヴィンに言って、その案件は誰にやらせてもいいけど、//nあなただけは関わっちゃいけない。
NPC-Light(0)<Speaker>ライト</Speaker>;NPC-Shadowless(8)||:なんで？
NPC-Light(0);NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:危険だからよ。
NPC-Light(0);NPC-Shadowless(8)<Speaker></Speaker>||<黑屏1>:シャドレスはビール缶をテーブルに置いた。
()<Speaker></Speaker>||<common_effect>%%code=NPC_TV_15%%</common_effect><BIN>348</BIN><黑屏2>:ちょうどテレビでは、デモの様子が流れていた。
()<Speaker>シャドレス</Speaker>||:「イズン」のしがらみが多すぎる。政府も大企業も全部それを狙ってる。+あなたはまだ19歳よ、そんな危険なことに首を突っ込んで死ぬ気なの？
()<Speaker></Speaker>||<SE1>Explode</SE1>:（爆発音）+二人の会話の合間にも、テレビから爆発の音が聞こえてきた。
()<Speaker>ライト</Speaker>||:どっちの仕事が危険なんて、今更言う必要あるんですか？
()<Speaker>シャドレス</Speaker>||:私は冗談を言ってるつもりはない。
()<Speaker>ライト</Speaker>||<黑屏1>:僕も同じだよ、姉さん。
NPC-Light(0)<Speaker></Speaker>||<BIN>82</BIN><关闭蒙版>%%</关闭蒙版><黑屏2><SE1>AVG_tele_disconnect</SE1>:ライトはリモコンでテレビを閉じた。
NPC-Light(0)<Speaker>ライト</Speaker>||:政府関係者としての忠告です、あまり深入りしない方がいい。+これはメディアが深く関わっていいことではありません、//n今すぐ手を引かないと、姉さんの身に危険が及びますよ。
NPC-Light(0);NPC-Shadowless(8)<Speaker>シャドレス</Speaker>||:ライト！
NPC-Light(0);NPC-Shadowless(10)<Speaker></Speaker>||:立ち上がったライトを、シャドレスはすごい剣幕で呼び止めた。
NPC-Light(0);NPC-Shadowless(10)<Speaker>シャドレス</Speaker>||:……お母さんの仕事のために、命を張らなくてもいいのよ。
NPC-Light(0)<Speaker>ライト</Speaker>||:これは僕が自分で選んだことです、姉さん。+どうか理解してください。もしそれができないのなら……
NPC-Light(0)<Speaker></Speaker>||:ライトは少し沈黙して、続けて言った。
NPC-Light(0)<Speaker>ライト</Speaker>||:僕は非常に残念です。
()<Speaker></Speaker>||<黑屏1>:首を横に振りながら、ライトは自分の部屋に戻った。+缶の中のビールはまだ泡を立てていたが、シャドレスは食欲を失っていた。
