()<Speaker>指揮官</Speaker>||:ハッピーホワイトデー、ファルコン。
Falcon(2)<Speaker>ファルコン</Speaker>||:アホイ、子羊ちゃん。+こんなに待たせるなんてひどいね。
Falcon(2)<Speaker>指揮官</Speaker><同时置暗>||:ごめん、ちょっといろいろあってね。+でもなんとかなってよかったよ。
()<Speaker></Speaker>||:ファルコンはチョコレートを受け取ると、指で軽くギターの弦をなぞった。
Falcon(2)<Speaker>ファルコン</Speaker>||:ふ～ん、まぁ分かってるよ、いくらきれいな演奏でも、//nたまに不協和音が混ざってしまうよね？
Falcon(2)<Speaker>指揮官</Speaker><同时置暗>||:うーん……なんか違うけど、多分そういうことかな。
Falcon(2)<Speaker>ファルコン</Speaker>||:いつも「なんか」とか「多分」とかで済ますから、//n問題が起きるんだよ、子羊ちゃん。
()<Speaker></Speaker>||:ファルコンは指揮官を見て、微かに笑みを浮かべた。
Falcon(2)<Speaker>ファルコン</Speaker>||:他の子のところにも行くんでしょ？+それは別にいいけど、全部終わったら、一曲聞きに来てくれる？
Falcon(2)<Speaker>指揮官</Speaker><同时置暗>||:……もちろんだよ。
Falcon(2)<Speaker>ファルコン</Speaker>||:ありがとう、指揮官。+さすが私の子羊ちゃんね。
()<Speaker></Speaker>||:……
