()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker>M200</Speaker>||<BGM>m_avg_casual</BGM><黑屏2><BIN>197</BIN>:ただいま「対パラデウス模擬作戦」に関するテータを整理します。+皆さんの実力誤認を招かないために、ここではあくまでも敵のデータだけを紹介します。
()<Speaker>M200</Speaker>||:パラデウスの殆どのユニットは、偏向障壁を展開しています。//nそれに対して、こちらは重装部隊の支援攻撃が必要となります。+支援を呼ぶ時間の確保、そして重装部隊の皆さんをどうやって守るかが、//n最初の課題になります。
()<Speaker>VHS</Speaker>||:重装部隊との連携ね……+それなら任せて、G3とちゃんと相談しておくから。
NPC-Doppelsoldner(0)<Speaker>M200</Speaker>||:これがドッペルゾルドナーです。//n基本的には単独で巡回していますが、大範囲の殺傷武器を装備しています。+その中でも特に、回避不能の榴弾攻撃が脅威的で、対処するにはまず重装部隊に敵の障壁を破壊してもらい、そして集中火力で倒すしかありません。+いかにして損傷を出さずに敵を撃破し、そして今後の実戦でいかにして損傷を減らすのかを……
NPC-Doppelsoldner(0)<Speaker>AUG Para</Speaker>||:こんな美しくて神聖的なものが敵だなんて？！
NPC-Doppelsoldner(0)<Speaker>劉氏歩槍</Speaker>||:なんだか残念ですね……
NPC-Doppelsoldner(0)<Speaker>M200</Speaker>||:確かに、この白い外見には惑わされますね。+見た目が綺麗なものが実は敵で、怖そうに見えるものが実は守るべきもの。//n今まで何度もこんなことに遭遇してきました。
NPC-Uhlan(0)<Speaker>M200</Speaker>||:そして次に出遭う可能性のある脅威はウーランです。+こいつらは移動速度こそ速くないものの、一瞬で加速する突進攻撃は、シールドをもってしてもダメージを完全に防ぎきることはできません。なので、こいつらが突進を発動する前兆を見極める必要があります。+ただもし、こいつらの火力を惹き付けられるデコイを置くことができたら、//nその間に集中攻撃をして倒せるかもしれません……+もちろん、他の敵と一緒に現れないことが前提ですが。
NPC-Uhlan(0)<Speaker>VHS</Speaker>||:速度がなくとも、破壊力は抜群ということね？+突進の前兆には注意しておく。
NPC-Uhlan(0)<Speaker>劉氏歩槍</Speaker>||:なんか私たちより何倍も大きい！
NPC-Uhlan(0)<Speaker>AUG Para</Speaker>||:グリフィンの仕事って難しいね。
NPC-Rodelero(0)<Speaker>M200</Speaker><Position>0,+70</Position>||:ロデレロとストレリツィはよく出遭う敵ですが、//nウーランやドッペルゾルドナーと比べてかなり倒しやすい方です。
NPC-Strelet(0)<Speaker>M200</Speaker>||:ですが、こいつらはいつも群れで押し寄せてきますし、しかもお互いに弱点を補って攻撃してきますから、案外手強いかもしれません。+トンプソンの姉さんは、こいつらを初見で蹴散らしたそうです。//n本当にすごいですね！
()<Speaker>AUG Para</Speaker>||:すご～い、さすがは人形ちゃん！
()<Speaker>VHS</Speaker>||:ワタシたちもきっといける。
()<Speaker>劉氏歩槍</Speaker>||:……はい！
()<Speaker>M200</Speaker>||<黑屏2><BIN>9</BIN>:通常のユニット以外にも、パラデウスの精鋭ユニットが存在します。
Nyto(1)<Speaker>M200</Speaker>||:黒ネイト、
NytoWhite(0)<Speaker>M200</Speaker>||:白ネイト、
NPC-Nimogen(0)<Speaker>M200</Speaker>||:ニモゲン、
NPC-Mercurows(0)<Speaker>M200</Speaker>||<黑屏1>:そしてマーキュラス。
AUGPARA(0)<Speaker>AUG Para</Speaker>||<BIN>73</BIN><黑屏2>:ただ服が変な女の子にしか見えないけど……
GeneralLiu(0)<Speaker>劉氏歩槍</Speaker>;AUGPARA(0)||:そうですね、こんなのが敵の精鋭ユニットなんて。
AUGPARA(0)<Speaker>AUG Para</Speaker>||:鉄血と同じように捕獲できないの？+案外一緒に働きたいかも！
AUGPARA(0)<Speaker>ダンデライオンの声</Speaker>||:今のところパラデウスを捕獲する方法はまだないわ。//n今後そのおめでたい考えを実現する日が来るかもしれないけど。
VHS(0)<Speaker>VHS</Speaker>||:M200、続けて。
M200(0)<Speaker>M200</Speaker>||:あっ、はい！+こちらの敵はジャミング能力と殺傷能力を同時に持っているケースが多いです。//n高いスピードと回避能力を持っている上に、//nとても強力な電子戦まで仕掛けてきます。+さっき紹介した敵と比べても、これらの敵が一番脅威的だと思います。//n一回でもハッキングされたら、素体への制御権を失うことになりますので……
VHS(0)<Speaker>VHS</Speaker>||:これらの敵に関して、他に質問は？
GeneralLiu(0)<Speaker>劉氏歩槍</Speaker>||:うぅ……ありません……
AUGPARA(0)<Speaker>AUG Para</Speaker>||:問題ないよ！
()<Speaker></Speaker>||<SE1>RunStep</SE1>:その時、一人の銀髪の人形が慌てて入ってきた。
SL8(0)<Speaker>Gr SL8</Speaker>||:わるい、遅刻した！+解説はどこまでやった？
SL8(0);VHS(0)<Speaker>VHS</Speaker>||:……+もう終わったよ。+全員起立、出発。
SL8(3)<Speaker>Gr SL8</Speaker>||<黑屏1>:……おお。
