()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:…………20分後。
M99()<Speaker>M99</Speaker>||:M4A1？+M4A1さん？
M4A1()<Speaker>M4A1</Speaker>||<黑屏1>:……あ。+ごめんなさい……状況はどうですか？
M99(0)<Speaker>M99</Speaker><通讯框>||<黑屏2><BIN>3</BIN><Night><BGM>BGM_Sneak</BGM>:みんな戦闘エリアから無事抜け出せましたよ。//nハンターも追ってきていません。
M4A1(2)<Speaker>M4A1</Speaker>;M99(0)||:そう……よかった……
M4A1(2);M99(0)<Speaker>M99</Speaker>||:これはP08の犠牲と引き換えに手に入れたチャンスです……+ですからM4A1、今は落ち込んでいる場合ではありません……
M4A1(2)<Speaker>M4A1</Speaker>;M99(0)||:こんなにたくさんのことが起きて……+私は本当に……指揮官として適任なのか……
M4A1(2);M99(0)<Speaker>M99</Speaker>||:……あなたがいなければ、私たちは全員、ここで死んでいました。+P08が言っていましたよ。//n一人だけでも、生きてメンタルモデルを持ち出すことができれば……+……みんなの犠牲も意味あるものになると……
M4A1(0)<Speaker>M4A1</Speaker>||:（ため息）……+（また私にしかできないこと……）+（でも、どうして私なの……）
M4A1(0);M99(0)<Speaker>M99</Speaker><通讯框>||:M4A1……聞こえてますか？
M4A1(0)<Speaker>M4A1</Speaker>;M99(0)||:ええ……+一人でも生きて脱出させることができれば、目的達成ということですよね？
M4A1(0);M99(0)<Speaker>M99</Speaker>||:客観的にはそうです。
M4A1(0)<Speaker>M4A1</Speaker>;M99(0)||:分かりました……+もう誰も犠牲にしたくありませんから、その目的を果たすために……力を尽くします……+M99さん、今は……P08さんもヴィーフリさんもいないですし、Super SASSさんは前線で戦っています……+あなたに副官になってもらいたいのですけど、よろしいですか？
M4A1(0);M99(0)<Speaker>M99</Speaker>||:いいですよ。+あまり経験はないですけど、精一杯サポートします。
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏1>:では、随時鉄血の動きを知らせてください。+私は部隊の撤退と通信装置の捜索に集中します。
M4A1()<Speaker>M4A1</Speaker>||<黑屏2><BIN>16</BIN><黑屏1>:（…………）+（クソッ……）+（気を取られている場合じゃないわ）+（もっと集中しなきゃ、もっとすべてを考慮しなきゃ……）
