()||<BIN>10</BIN>:
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:（銃声）
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:ああ！　ちょっとちょっとちょっと！+こんなの一人で相手できるわけないじゃん！
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:（ピッ）
P90(0)<Speaker>P90</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>もしもし？　聞こえてます？</color>+<color=#00CCFF>こちら援軍だよ——</color>
VSK(0)<Speaker>VSK-94</Speaker><通讯框>||:<color=#00CCFF>……SIG MCX、協力しに来ました。</color>
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:おお！　ちょうどよかった！+指揮官からの伝言とかはない？
VSK(0)<Speaker>VSK-94</Speaker><通讯框>||:<color=#00CCFF>我々は今から目標地点に向かい、そちらと合流します。</color>+<color=#00CCFF>任務目標は簡単です——見敵必殺。</color>
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:簡単に言ってくれるね……
P90(0)<Speaker>P90</Speaker><通讯框>||:<color=#00CCFF>まぁ任せてよ～神よ我らが王を守りたまえ、君に勝利を、幸福を、栄光を！</color>
()<Speaker>SIG MCX&VSK-94</Speaker>||:それを言うな！
