()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()||<黑屏2><SE1>AVG_Water_Drip</SE1>:（ポタッ）
+暗い工場の中、//n破裂したパイプから冷たい水が流れ落ち、//n地面で水溜まりができていた。+湿った空気が骨の髄まで凍みこみ、//n息を吸う度に胸が破裂しそうな感覚だった。
()<Speaker>マハリアン</Speaker>||<黑屏1>:……エリザ。
()<Speaker></Speaker>||<BIN>229</BIN><黑屏2><BGM>m_avg_labyrinth</BGM>:唯一光に照らされた場所に、小さな女の子を真ん中に囲って、//n積み重なった死体の山が出来ていた。
()<Speaker>マハリアン</Speaker>||:エリザ……待ってて、もうちょっと待っててね。+すぐ薬を作ってあげるから。
()<Speaker></Speaker>||:天井から伸びてくるチューブから鋭い針がむき出しになり、//nマハリアンの皮膚に深く差し込んだ。
()<Speaker>マハリアン</Speaker>||:うっ！
()<Speaker></Speaker>||:血液が吸い出されていく。+飢えたヒルのように、針はマハリアンからどんどん血液を奪っていく。+彼女が一歩前へ進むたびに、天井からまたチューブが伸び、//nマハリアンに針を刺し込んでいく。
()<Speaker>マハリアン</Speaker>||:エ.......リザ.......
()<Speaker></Speaker>||<SE1>Heartbeat</SE1>:（ドクッ）+全身に針を刺し込まれ、マハリアンは耐えきれず地面に倒れる。+それでも彼女は力を振り絞り、前へと這っていく。+あと一歩だ。あと一歩だけ、女の子の後姿に手が届く。
()<Speaker>マハリアン</Speaker>||:……！！
()<Speaker></Speaker>||:混濁した水面が、マハリアンの顔を映し出す。+全身の血を吸い尽くされたマハリアンは、//nまるでミイラのような顔をしていた。
()<Speaker>謎の声</Speaker>||:お前はバケモノだ。+人の死体で出来たバケモノ！
()<Speaker>マハリアン</Speaker>||:いや……違う……+私は……違うの！
NPC-Lilyan(0)<Speaker>エリザ</Speaker>||:聖女……様？
NPC-Lilyan(0);NPC-Machlian(6)<Speaker>マハリアン</Speaker><Position>0,-50</Position>||:エリザ！
NPC-Lilyan(0);NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:頭を上げ、マハリアンの心臓は止まりそうになった。+ただれていくエリザの顔は血を流し続け、//n結晶化した皮膚はボロボロと剝がれ落ちていく。
NPC-Lilyan(0)<Speaker>エリザ</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:聖女様……痛いよ……
NPC-Lilyan(0);NPC-Machlian(6)<Speaker>マハリアン</Speaker><Position>0,-50</Position>||<黑屏1>:エリザ……
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||<黑屏2><BIN>9</BIN><SE1>Heartbeat</SE1>:（水の中で溺れる音）+水溜まりの中から無数の黒い手が伸びてきて、//nエリザの身体を深淵へと引きずり込もうとした。
NPC-Machlian(7)<Speaker>マハリアン</Speaker><Position>0,-50</Position>||:いや！+エリザ！
NPC-Machlian(7)<Speaker>マハリアン</Speaker><Position>0,-50</Position>||<BGM>BGM_Empty</BGM><震屏>:エリ――！
()<Speaker></Speaker>||<BGM>BGM_Truth</BGM><BIN>202</BIN><闪屏><duration>5</duration></闪屏>:夢から覚めると、目の前にいるのはいつものグリフィンの面々だった。
()<Speaker>指揮官</Speaker>||:マハリアン？　起きたのか？
()<Speaker></Speaker>||:小さなテーブルを囲って、全員でなにかを話し合っていたようだった。+指揮官はシートで寝ていたマハリアンを、心配そうな顔で見た。
()<Speaker>指揮官</Speaker>||:顔色が悪いようだけど。
AR15Mod(4)<Speaker>ST AR-15</Speaker>||:顔色が悪いわけないでしょ？+こんな時にのんきに寝れるなんて。
AR15Mod(4);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:惜しいな！　ブリーフィング終わったら、顔に落書きしたかったのに！
AR15Mod(4)<Speaker>ST AR-15</Speaker><Shake>||:あんたまたそんな事するの！？
NPC-Machlian(6)<Speaker>マハリアン</Speaker><Position>0,-50</Position>||:私……
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:マハリアンは目を擦って、深呼吸をした。
NPC-Machlian(6)<Speaker>マハリアン</Speaker><Position>0,-50</Position>||:……ごめんなさい、私は大丈夫です。+なにを話してたんですか？
NytoIsomer(7)<Speaker>ダンデライオン</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:もうあなたの提供した座標の50メートル近くまで来たわ。+さっき車を降りて偵察してきたけど、あれは廃棄工場で間違いないわね。+今は突入の計画を練っているわ。
NytoIsomer(7);NPC-Machlian(5)<Speaker>マハリアン</Speaker><Position>0,-50</Position>||:もう着いたんですか！？
NPC-Machlian(5)<Speaker></Speaker><Position>0,-50</Position>||<SE1>AVG_lifttable</SE1>:マハリアンは急いでシートから起き上がると、小テーブルに膝をぶつけた。
NPC-Machlian(5)<Speaker>指揮官</Speaker>||:気を付けて。
NPC-Machlian(7)<Speaker>マハリアン</Speaker><Position>0,-50</Position>||:……はい。
NPC-Machlian(7)<Speaker></Speaker><Position>0,-50</Position>||:マハリアンはぶつけた場所を押さえながら、フラフラとテーブルの端に座った。
AR15Mod(4)<Speaker>ST AR-15</Speaker>||<BGM>BGM_Empty</BGM>:……わざとらしい。
NPC-Machlian(5)<Speaker>マハリアン</Speaker><Position>0,-50</Position>||<BGM>BGM_Sneak</BGM>:これは……マップですか？
NytoIsomer(7)<Speaker>ダンデライオン</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:ええ、私がスキャンした結果よ。あなたの記憶と違いはあるかしら？
AR15Mod(4)<Speaker>ST AR-15</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:……ここはパラデウスの縄張りよ、なんでこいつに訊くの？
NytoIsomer(7)<Speaker>ダンデライオン</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:確認をとるだけ。+彼女を信じられないのなら、私のマップだけ見ていればいいわ。
AR15Mod(4)<Speaker>ST AR-15</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:嫌な二択ね……
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:マハリアンは黙って机の上のマップを見ていた。
NPC-Machlian(6)<Speaker>マハリアン</Speaker><Position>0,-50</Position>||:……私の記憶とほぼ同じです。+外からスキャンするだけで、こんなに中の様子が分かるんですか？
NytoIsomer(7)<Speaker>ダンデライオン</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:取るに足らないことよ。
NytoIsomer(7);RO635Mod(0)<Speaker>RO635</Speaker>||:地形は大体把握できました。+でも敵の配置はどうなっていますの？
NytoIsomer(7)<Speaker>ダンデライオン</Speaker>;RO635Mod(0)||:パラデウスの兵士やネイトの存在は確認できていないわ。+中には誰もいない。//nマハリアンの言ったように、ここはもう完全に廃棄されているわね。
NytoIsomer(7)<Speaker>指揮官</Speaker>;RO635Mod(0)<同时置暗>||:マハリアン、君は……本当にこの工場から逃げ出したのか？
NytoIsomer(7);NPC-Machlian(6)<Speaker>マハリアン</Speaker><Position>0,-50</Position>||<BGM>BGM_Empty</BGM>:……はい。
NPC-Machlian(7)<Speaker></Speaker><Position>0,-50</Position>||<BGM>m_avg_labyrinth</BGM>:悪夢が現実と重なったように、マハリアンの目の前が一瞬暗くなった。+それでも彼女は必死に体を支え、//nお腹が煮えたぎるような気持ち悪さをこらえると、呼吸を整えた。
NPC-Machlian(6)<Speaker>マハリアン</Speaker><Position>0,-50</Position>||:……私はここでパラデウスの実験を受けていました。+私が部分免疫体だと分かって、私の血を材料に、血清を作ることにしたんです。+おそらく……薬を作る目的は人助けではありません。+それでも私は逃げ出す時、放射線病を治せる薬を持ち出したんです。
VP1915(0)<Speaker>VP1915</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:あなたはどうやって逃げ出せたの？
VP1915(0);NPC-Machlian(6)<Speaker>マハリアン</Speaker><Position>0,-50</Position>||:あの時、パラデウスは撤退していました。+実験用の死体や設備などを運んでいて……+なにが起きていたのかは分かりませんが、みんなドタバタしていました。+だから誰にも気づかれない隙に……逃げて……走って.......+ずっとボーン村まで走ってきたんです……
AR15Mod(4)<Speaker>ST AR-15</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||<BGM>BGM_Empty</BGM>:随分と楽そうね。+いや。+運がよかったとでも言うべき？
AR15Mod(4);RO635Mod(0)<Speaker>RO635</Speaker>||<BGM>BGM_Sneak</BGM>:AR-15、もう少しオブラートに包んで言っても......
AR15Mod(4)<Speaker>ST AR-15</Speaker>;RO635Mod(0)||:ほっといて！
AR15Mod(4)<Speaker>指揮官</Speaker>;RO635Mod(0)<同时置暗>||:……だとしたら、血清を作る設備がまだ中にあるとは限らないかもね。+撤退する時一緒に運び出していたら？
AR15Mod(4);NPC-Machlian(6)<Speaker>マハリアン</Speaker><Position>0,-50</Position>||:……それはないと思います。+あの設備はとても大きくて、建物そのものと一体化していました。//nなので運び出すことはできないと思います。+それにこの実験は、//nパラデウスにとってそんなに大事じゃなかったみたいなので、//nあまり手間はかけたくないはずです。
NPC-Machlian(6)<Speaker>指揮官</Speaker><Position>0,-50</Position>||:そうか……仕方ない。どうせ他に選択肢はないんだ、試すだけ試そう。
()<Speaker></Speaker>||:指揮官は視線をマップに戻し、二小隊の隊長に指示を出す。
()<Speaker>指揮官</Speaker>||:ペロサ、君はグリフォン小隊と一緒に地上に残って。//nもし外で何かあったら、すぐ私に連絡するように。+もちろん、もしこちらで何かあったら、//n君たちの支援が必要になるかもしれない。
VP1915(0)<Speaker>VP1915</Speaker>||:了解。
()<Speaker>指揮官</Speaker>||:AR小隊とダンデライオンは今まで通り一緒に行動し、//nそしてマハリアンも、私と一緒に地下へ向かう。+マハリアンを守りつつ、設備を探す――//nそして血清を回収し次第、直ちに撤退する。
AR15Mod(5)<Speaker>ST AR-15</Speaker>||:待って、指揮官も来るの？+危険よ！
AR15Mod(5);RO635Mod(2)<Speaker>RO635</Speaker>||:そうですね、指揮官はやはりグリフォン小隊と一緒に地上に残るべきです。+そうすれば仮に何かあっても、わたしたちは動きやすい。
AR15Mod(5);RO635Mod(2)<Speaker>指揮官</Speaker><同时置暗>||:言っていることは分かる。
AR15Mod(5);RO635Mod(2)<Speaker></Speaker><同时置暗>||:指揮官はチラッとマハリアンの様子を見た。+額から滲み出た汗に自分でも気づいていないらしく、//n彼女はただひたすら震えを抑えて、不安に耐えていた。
AR15Mod(5);RO635Mod(2)<Speaker>指揮官</Speaker><同时置暗>||<BGM>BGM_Empty</BGM>:……でもマハリアンの状態が心配だ。+ダンデライオンも中に危険はないと確認したし、+問題はないと思う。
