()||<BIN>10</BIN>:
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:... +Click. +The transmission connects.
()<Speaker>Commander</Speaker>||:<color=#00CCFF>SIG? Are you manning the outpost?</color>
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:Yup, sure am. I'm on lookout.
()<Speaker>Commander</Speaker>||:<color=#00CCFF>Good. I need you to intercept a small band of Paradeus troops that are about to break through the encirclement.</color>
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:A Paradeus unit? Me? Really?
()<Speaker>Commander</Speaker>||:<color=#00CCFF>They're an elite vanguard force.</color> +<color=#00CCFF>It's probably a small scale breakthrough attempt.</color> +<color=#00CCFF>Our main force can't leave the defense line.</color> +<color=#00CCFF>I'm counting on you.</color>
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:Oh~ Sure thing, I got it.
()<Speaker>Commander</Speaker>||:<color=#00CCFF>You may end up needing backup during combat.</color> +<color=#00CCFF>If that comes up, I'll do my best to help you, so there's no need to worry.</color>
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:Okay!
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:Click. +The transmission has ended.
