()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:...
()<Speaker></Speaker>||<黑屏2><BIN>322</BIN><BGM>BGM_Brain</BGM>:Outside the abandoned underground plant on the outskirts of Berlin.
NPC-Machlian(7)<Speaker>Machlian</Speaker><Position>0,-50</Position>||:...
NPC-Machlian(7)<Speaker></Speaker><Position>0,-50</Position>||:As the familiar main gate looms before her once again, Machlian's face goes even paler than when she was in the truck. +Her heart pounds against her chest with every beat. Just standing here makes her feel like she's going to suffocate.
NPC-Machlian(7)<Speaker>Commander</Speaker><Position>0,-50</Position>||:...
NPC-Machlian(7)<Speaker></Speaker><Position>0,-50</Position>||:The Commander wordlessly puts a hand on her back.
NPC-Machlian(6)<Speaker>Machlian</Speaker><Position>0,-50</Position>||:...Robin.
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:It is a small gesture, but it greatly relieves Machlian's uneasiness. +Even her breathing has slowed down.
NPC-Machlian(6)<Speaker>Commander</Speaker><Position>0,-50</Position>||:Your heart is beating very fast, Machlian. +...Are you alright?
NPC-Machlian(6)<Speaker>Machlian</Speaker><Position>0,-50</Position>||:My heart...beats?
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:Machlian puts a hand on chest dubiously.
NPC-Machlian(6)<Speaker>Machlian</Speaker><Position>0,-50</Position>||:...Robin, does a corpse have a heartbeat?
NPC-Machlian(6)<Speaker>Commander</Speaker><Position>0,-50</Position>||:Huh?
AR15Mod(5)<Speaker>ST AR-15</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:Have you finally gone mad?
AR15Mod(5);NPC-Machlian(5)<Speaker>Machlian</Speaker><Position>0,-50</Position>||:...I am human. +I do have a heartbeat, so I am not a monster. +I am human.
AR15Mod(5);NPC-Machlian(5)<Speaker>Commander</Speaker><Position>0,-50</Position>||:...
NPC-Machlian(5)<Speaker></Speaker><Position>0,-50</Position>||:As she mutters to herself, a surge of courage flows through her body. +Machlian raises her head, looks at the sealed factory gates, and back at the Commander.
NPC-Machlian(5)<Speaker>Machlian</Speaker><Position>0,-50</Position>||:Let's go, Robin.
NPC-Machlian(5)<Speaker>Commander</Speaker><Position>0,-50</Position>||:Alright.
NytoIsomer(7)<Speaker>Dandelion</Speaker>||:I'm going to open the gates now.
()<Speaker></Speaker>||:With a loud groan and creak, the gates slowly open up to either side.
RO635Mod(0)<Speaker>RO635</Speaker>||:Let's go. +Commander, please stay in the center of the group with Machlian. +SOP-II, you're on point with me. 15, please cover our rear.
AR15Mod(0)<Speaker></Speaker>||:ST AR-15 nods and trails behind the group wordlessly. +As she walks past Squad Griffin, she exchanges looks with Perosa. +The Commander and the AR Team enter the main gates of the underground base in silence.
VP1915(0)<Speaker>Perosa</Speaker>||:Whew.
VP1915(0);Kolibri(0)<Speaker>Kolibri</Speaker>||:What's that all about?
VP1915(0)<Speaker>Perosa</Speaker>;Kolibri(0)||:What do you mean?
VP1915(0);Kolibri(0)<Speaker>Kolibri</Speaker>||:Don't play dumb, I saw it all. +You exchanged looks with that pink-haired girl who loves blowing up. +When did the two of you hook up?
VP1915(0)<Speaker>Perosa</Speaker>;Kolibri(0)||:...Enough with the nonsense. +Deploy your the and keep your eyes open.
VP1915(0);Kolibri(0)<Speaker>Kolibri</Speaker>||:Tsk.
VP1915(0)<Speaker></Speaker>||:Kolibri stalks off sullenly.
VP1915(0)<Speaker>Perosa</Speaker>||:...
VP1915(0)<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:Perosa remains where she is, her eyes scanning the floor on which the AR Team walked over.
()<Speaker></Speaker>||<BIN>202</BIN><回忆><黑屏2><BGM>BGM_Room</BGM>:... +Back at the temporary command post.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Perosa.
VP1915(0)<Speaker>Perosa</Speaker>;AR15Mod(0)||:...ST AR-15? +Is something the matter?
VP1915(0);AR15Mod(2)<Speaker>ST AR-15</Speaker>||:How much do you believe of what Machlian just said?
VP1915(0)<Speaker>Perosa</Speaker>;AR15Mod(2)||:You mean... What she said about the interior of the plant? +Or how she escaped it?
VP1915(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Dandelion will stay on top of things inside the plant, so I have no objections there. +But her story about escaping sounds off to me.
VP1915(0)<Speaker>Perosa</Speaker>;AR15Mod(0)||:Indeed, it was too easy.
VP1915(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:That's not all. +Let's give her the benefit of the doubt and say she really is innocent. +But where did she end up fleeing to? Bohnsdorf. +Which we know is pretty much a Paradeus indoctrination center. +So in the end, she never really escaped from them.
VP1915(0)<Speaker>Perosa</Speaker>;AR15Mod(0)||:Also, when you were in Bohnsdorf, Paradeus responded extremely quickly, so I suspect they're aware of Machlian's location.
VP1915(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Very suspicious indeed, don't you think?
VP1915(0)<Speaker>Perosa</Speaker>;AR15Mod(0)||:So why don't you go to the Commander with this?
VP1915(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:The medicine is very important to the Commander, so nothing I say now will make the Commander call the operation off. +Also, we don't exactly agree on how to handle Machlian. +I'll admit that she puts on a very convincing show, but that doesn't mean I can overlook all the suspicious things about her.
VP1915(0)<Speaker>Perosa</Speaker>;AR15Mod(0)||:So, you've come to me instead? +What do you have in mind?
VP1915(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:I checked Dandelion's scans, and they're fine. +However, the interior layout is extremely complex, so in case something happens... +I need you and your squad in there with us ASAP.
VP1915(0)<Speaker>Perosa</Speaker>||:I see... I get it.
()<Speaker></Speaker>||:Perosa nods and produces a small vial from her tactical bag.
AR15Mod(2)<Speaker>ST AR-15</Speaker>||:What's this?
VP1915(0)<Speaker>Perosa</Speaker>;AR15Mod(2)||:A primitive tactical item. Basically, it's a very special powder that can only be seen under UV light. +When you go in, scatter this along the way, and we'll know which route you took. +If anything happens, I'll follow your trail and get to you as quickly as possible.
VP1915(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:...It really is primitive.
VP1915(0)<Speaker>Perosa</Speaker>;AR15Mod(0)||:But effective nonetheless. +I also have plenty of UV flashlights, so you should take one too.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<黑屏1>:Alright.
VP1915(0)<Speaker>Perosa</Speaker>||<黑屏2><关闭蒙版><BGM>BGM_Empty</BGM><BIN>322</BIN>:...
()<Speaker></Speaker>||:...Perhaps ST AR-15 is just being paranoid. +They're moving very quickly, and the Commander may very well be back in less than 10 minutes. +Still...
VP1915(0)<Speaker>Perosa</Speaker>||<黑屏1>:...I just can't shake off this bad feeling.
