()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:On the battlefield.
NPC-Jason(1)<Speaker>K</Speaker><通讯框>||<BGM>BGM_War</BGM><BIN>99</BIN><黑屏2>:<color=#00CCFF>Mind your right.</color>
NPC-Jason(1)<Speaker>Commander</Speaker>||:Roger.
()<Speaker></Speaker>||:A squad of troops runs through the tunnel, but none of them notice me as I hide in the shadow of a corner. +K and I regularly check each other's' positions to help our counterpart stay out of the Military's sight, and we continue onward, darting from cover to cover.
NPC-Yegor(3)<Speaker>Military Officer</Speaker>||:Reorganize our infantry and autonomous units! Don't let the enemy split you up! Your top priority is to rally with our other squads!
()<Speaker></Speaker>||<SE2>Alarm</SE2>:The Military forces that have entered the base are completely scattered and in disarray, but gunfire still rings out in the distance. The remaining Dolls keep disrupting the surviving squads, trying to slow down their attempt to regroup.
NPC-Kalin(4)<Speaker>Kalina</Speaker><通讯框>||<SE2>Gunfight</SE2><SE1>AVG_tele_connect</SE1>:<color=#00CCFF>Commander, do you read me?</color>
NPC-Kalin(4)<Speaker>Commander</Speaker>||:Loud and clear.
NPC-Kalin(4)<Speaker>Kalina</Speaker>||<SE2>Gunfight</SE2>:<color=#00CCFF>Our forces are engaging the Military in close quarters. We can't regroup, but they probably won't be able to storm us for a while.</color>+<color=#00CCFF>We don't have many Dolls left and we can't launch an assault, so all we can do is keep trying to delay them...but we won't be able to slow them for long.</color>
NPC-Kalin(4)<Speaker>Commander</Speaker>||:Understood. We'll be quick.
NPC-Jason(1)<Speaker>K</Speaker><通讯框>;NPC-Kalin(4)||:<color=#00CCFF>Trouble headed your way, Commander.</color>
NPC-Jason(1)<Speaker>Commander</Speaker>;NPC-Kalin(4)||:I see it. The bastards have set up a temporary command post right in front of the gates. What a nasty place to put it.
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(4)||:<color=#00CCFF>The enemy officers are probably thinking of a way to rattle you.</color>+<color=#00CCFF>What should we do? We'll need to take out their command post if we want to reach the valves. </color>+<color=#00CCFF>Shall we have your Dolls attack again?</color>
NPC-Jason(1)<Speaker>Commander</Speaker>;NPC-Kalin(4)||:There aren't many soldiers left, but we don't have enough Dolls to spare either.+Tsk... Kalin, can you hear me?
NPC-Jason(1);NPC-Kalin(4)<Speaker>Kalina</Speaker>||:<color=#00CCFF>I hear you, Commander. Please proceed.</color>
NPC-Jason(1);NPC-Kalin(4)<Speaker>Commander</Speaker>||:I'm trying to infiltrate a Military strongpoint. Have our remaining forces direct suppressive fire at them. Just draw their attention, there's no need to press the attack.+Have them start shooting now; I'll think of a way to slip past them while the soldiers are distracted.
NPC-Jason(1);NPC-Kalin(4)<Speaker>Kalina</Speaker>||:<color=#00CCFF>But, Commander...</color>
NPC-Jason(1);NPC-Kalin(4)<Speaker>Commander</Speaker>||:Do it, Kalina.
NPC-Kalin(4)<Speaker>Kalina</Speaker>||:<color=#00CCFF>Yes, right away.</color>
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1><SE2>Gunfight</SE2>:The gunfire intensifies right away. The soldiers and their automatons nervously run toward the firefight.+Stray bullets keep zipping past the defense line and hitting the walls not far from me. The sound is both unnerving and comical at the same time.
NPC-Jason(1)<Speaker>K</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>Are you sure you want to take this risk?</color>
