()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:...
()<Speaker>Commander</Speaker>||<黑屏2><BIN>221</BIN><BGM>BGM_Sneak</BGM>:Kalina, what's the situation?
NPC-Kalin(9)<Speaker>Kalina</Speaker>||:After breaking through, the mechs are heading straight for...the base elevator. Looks like they're planning to descend into the lower levels of the base.
()<Speaker>Commander</Speaker>||:Where the Starfish is, huh... +Let Ange handle it. We can't split our forces any further. +How are things at the base entrance?
NPC-Kalin(9)<Speaker>Kalina</Speaker>||:The Military's follow-up units are trying to cross the roadblocks that we blasted into place. It probably won't stop them for long. +Should we counterattack?
()<Speaker>Commander</Speaker>||:These are the last few echelons we have. We can't afford to lose any more. +Dammit, will we have to mount a fighting retreat into the base's interior?
NPC-Jason(1)<Speaker>K</Speaker>||:You must not fall back. We should still be able to deal with them as long as they're exposed.
()<Speaker>Commander</Speaker>||:I'm listening.
NPC-Jason(1)<Speaker>K</Speaker>||:Do you have comms equipment?
()<Speaker>Commander</Speaker>||:All our long-range comms equipment was destroyed.
NPC-Jason(1)<Speaker>K</Speaker>||:Short-range will do. You know that there's a Vympel unit not far away from the base, right?
()<Speaker>Commander</Speaker>||:I know, but will they help us?
NPC-Jason(1)<Speaker>K</Speaker>||:That'll depend on how negotiations go. +Give me the radio and tune it to UHF 73.975, frequency hopping at 111 times per second. Use encryption mode 12.
()<Speaker>Commander</Speaker>||:Give it to him.
NPC-Kalin(9)<Speaker>Kalina</Speaker>||:Alright, the adjustments are complete. +...Are they really going to respond?
NPC-Jason(1)<Speaker>K</Speaker>||:Let's just hope we can get through at all. +This is "Waterfall", do you copy?
()<Speaker></Speaker>||<SE1>AVG_whitenoise</SE1>:... +The only sound that comes through the radio is white noise.
NPC-Jason(1)<Speaker>K</Speaker>||:I repeat, this is "Waterfall", Please respond if you read me.
()<Speaker></Speaker>||:...
NPC-Kalin(9)<Speaker>Kalina</Speaker>||:No response, huh...
()<Speaker></Speaker>||:K glances at Kalina, who looks extremely anxious, and his grip tightens on the radio handset.
NPC-Jason(1)<Speaker>K</Speaker>||:I repeat, this is "Waterfall", requesting assistance from Squad Cobalt-13 of Vympel 4th Detachment, do you copy? Over. +My ID code is DINV-RTSA-1239. This is an emergency transmission, please respond immediately if you copy. Over.
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:The white noise is cut short by an electronic sound, then a male voice speaks.
()<Speaker>Cobalt-13</Speaker>||:<color=#00CCFF>Cobalt-13 copies. Message received. Over.</color>
NPC-Jason(1)<Speaker>K</Speaker>||:Cobalt-13, Waterfall is requesting support. Enemy units are about to break through the defense zone and enter the restricted area. This is a severe threat to the success of our mission. +Requesting fire support. Over.
