()||<BIN>10</BIN>:
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:Bangbangbang!
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:Ah... I'mgonnadieI'mgonnadieI'mgonnadie! +How can I fight so many Paradeus troops by myself?!
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:Click.
P90(0)<Speaker>P90</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>Hello? Can you hear me?</color> +<color=#00CCFF>I'm your reinforce—</color>
VSK(0)<Speaker>VSK-94</Speaker><通讯框>||:<color=#00CCFF>...SIG MCX, we're here to help you out.</color>
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:Oh, you're just in time! +Did you bring a message from the Commander?
VSK(0)<Speaker>VSK-94</Speaker><通讯框>||:<color=#00CCFF>We were told to proceed immediately to the objective point to link up with you.</color> +<color=#00CCFF>The mission is very simple—no suppression needed, just wipe them all out.</color>
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:Easier said than done...
P90(0)<Speaker>P90</Speaker><通讯框>||:<color=#00CCFF>Leave it to me~ Send them victorious, happy and glorious, long to reign over us, God save the Commander!</color>
()<Speaker>SIG MCX & VSK-94</Speaker>||:DON'T YOU SAY THAT KIND OF LINE!
