()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:...
NPC-Bodyguard2(0)<Speaker>Black-Clad Man</Speaker>||<BIN>18</BIN><黑屏2>:Get in, Miss Persica.
NPC-Bodyguard2(0)<Speaker></Speaker>||<黑屏1>:Under the black-clad men's watchful gaze, Persica grudgingly climbs into Havier's limousine.
()<Speaker></Speaker>||<BIN>166</BIN><黑屏2><BGM>BGM_Room</BGM>:The limo drives steadily along the road.
NPC-Persica(3)<Speaker>Persica</Speaker>||:Ugh... My stomach...
NPC-Havel(0)<Speaker>Havier</Speaker>;NPC-Persica(3)||:You still get stomach spasms when you're nervous? Is this car not to your liking? +Relax, it is completely bulletproof, even the chassis is specially reinforced to be explosion-proof. You are absolutely safe.
NPC-Havel(0);NPC-Persica(3)<Speaker>Persica</Speaker>||:I haven't left the lab in ages... +And I think you're more dangerous than any kind of attack.
NPC-Havel(0)<Speaker>Havier</Speaker>;NPC-Persica(3)||:Me? You wound me, Persica. I've been going over and beyond to ensure your personal safety. +Even if I hadn't visited, Statesec agents would soon come knocking on your door. +Compared to me, you will find their friendliness eye-opening.
NPC-Havel(0);NPC-Persica(1)<Speaker>Persica</Speaker><Shake>||:Hm...
NPC-Havel(0)<Speaker>Havier</Speaker>;NPC-Persica(1)||:Now that we're on the road, we have time for a nice chat. +Let's talk about what happened back in the research institute. +I'm sure this change of scenery must've prompted a lot of happy memories that you'd like to share?
NPC-Havel(0);NPC-Persica(0)<Speaker>Persica</Speaker>||:What do you want to know?
NPC-Havel(0)<Speaker>Havier</Speaker>;NPC-Persica(0)||:As I recall, there was quite a large age gap between you and Lyco. How did you end up doing research together?
NPC-Havel(0);NPC-Persica(0)<Speaker>Persica</Speaker>||:Lyco was an extraordinary genius... His studies on neural control and data reduction were far more extensive than mine. +Developing a Doll's neural cloud requires knowledge in different fields. He's been helping me a great deal even before we joined 90wish.
NPC-Havel(0)<Speaker>Havier</Speaker>;NPC-Persica(0)||:Indeed, the neural clouds of his Sangvis Dolls are not at all inferior to our IOP products. What a formidable competitor. +So, what was the relation between you and Lunasia?
NPC-Havel(0);NPC-Persica(3)<Speaker>Persica</Speaker>||:She was the director's daughter. +Sometimes the director was too busy to take care of her, so she would hang out with us at our lab. She told us about her family.
NPC-Havel(0)<Speaker>Havier</Speaker>;NPC-Persica(3)||:Her family?
NPC-Havel(0);NPC-Persica(3)<Speaker>Persica</Speaker>||:She complained that the director never had much time for her and her younger brother. She also said they would soon be moving away from the city.
NPC-Havel(0)<Speaker>Havier</Speaker>;NPC-Persica(3)||:Oberstein was under a lot of fire back in those days, and he had a pretty bad reputation at the Relics Department. +He was probably planning to relocate his family to lie low for a bit.
NPC-Havel(0);NPC-Persica(0)<Speaker>Persica</Speaker>||:I didn't know what was going on with the director, but I could tell things were bad. +He was always in a bad mood; I thought the research program was going to be shut down. +Lunasia stopped coming to the institute soon after that. Before she left, she took this picture with us, and I haven't seen her ever since...
NPC-Havel(0)<Speaker>Havier</Speaker>;NPC-Persica(0)||<BGM>BGM_Empty</BGM>:I see... And what is the relation between Lunasia and the Doll of your creation?
NPC-Havel(0);NPC-Persica(3)<Speaker>Persica</Speaker>||:...
NPC-Havel(0);NPC-Persica(3)<Speaker></Speaker>||<BGM>BGM_Sneak</BGM>:Persica clenches her fists. She stares at the rapidly receding buildings outside the car window, then she slowly redirects her gaze toward the rug inside the limo.
NPC-Havel(0);NPC-Persica(3)<Speaker>Persica</Speaker>||:Actually, before I joined IOP, there was a man that went by "William" who got in touch with us.
NPC-Havel(1)<Speaker>Havier</Speaker>;NPC-Persica(3)||:Hm?
NPC-Havel(1);NPC-Persica(3)<Speaker>Persica</Speaker>||:By then, we already knew that Lunasia had passed away because of an illness. Lyco and I were both very sad to hear that. +But then one day, this "William" contacted us out of the blue. +We knew of this man from 90wish, but neither of us had met him before. Apparently his manners were very off-putting, so nobody liked him in the research team. +But his reports were always astounding. I'd always thought Lyco was a genius, but "William" was even MORE of a genius.
NPC-Havel(1)<Speaker>Havier</Speaker>;NPC-Persica(3)||<黑屏1>:He must've shown you something truly impressive to deserve such praise from you.
()<Speaker>Persica</Speaker>||<BIN>252</BIN><黑屏2>:He mailed us a package that contained a data block with digital sequence information based on a brain. The data block was so unbelievably massive, it had both Lyco and I utterly shocked. +That was data compiled during the process of digitizing a human brain – we couldn't even begin to imagine how he did it. +In his message, he asked us to create a neural cloud using those data and reformat them into segments of the brain's structure. +Lyco and I took a closer look, and we discovered some of Lunasia's memories of the time she'd spent with us. That's when we realized what "William" was trying to achieve.
()<Speaker>Havier</Speaker>||:Digitization of the human brain? +Then these T-Dolls of yours...
()<Speaker>Persica</Speaker>||<黑屏1>:Yes... I did not attempt it back then, but in the end, I went ahead and did it.
NPC-Havel(1)<Speaker>Havier</Speaker>||<BIN>166</BIN><黑屏2>:So that's what makes the AR Team so special... +But isn't that a way of reviving Lunasia, even if only in the form of a Doll? In that case, it became a lot more likely that "William" was actually Rudolf von Oberstein.
NPC-Havel(1);NPC-Persica(2)<Speaker>Persica</Speaker>||:That was our initial suspicion, but the director has always been firmly against this field of research, and there didn't seem to be a shift in his stance. +Besides, if it really were him, surely you'd have found out long ago?
